Points_0,Points_1,Points_2,Points_Magnitude,f,fs,Point ID
11.0021,-0.365056,0,11.0082,0.5,0,0
11.0156,-0.378054,0,11.0221,0.5,0,1
10.9899,-0.351562,0,10.9955,0.5,0,2
10.9477,-0.302323,0,10.9519,0.5,0,3
10.957,-0.313233,0,10.9615,0.5,0,4
10.941,-0.292969,0,10.945,0.5,0,5
10.9228,-0.26859,0,10.9261,0.5,0,6
10.9277,-0.274342,0,10.9312,0.5,0,7
10.9204,-0.263672,0,10.9236,0.5,0,8
10.9114,-0.250742,0,10.9142,0.5,0,9
10.901,-0.234375,0,10.9035,0.5,0,10
10.9357,-0.285021,0,10.9394,0.5,0,11
10.9743,-0.33429,0,10.9794,0.5,0,12
10.9863,-0.347562,0,10.9918,0.5,0,13
10.9644,-0.322266,0,10.9691,0.5,0,14
10.9616,-0.317666,0,10.9662,0.5,0,15
10.9886,-0.349243,0,10.9942,0.5,0,16
10.89,-0.213558,0,10.8921,0.5,0,17
10.8984,-0.229505,0,10.9009,0.5,0,18
10.8861,-0.205078,0,10.888,0.5,0,19
10.8804,-0.193792,0,10.8822,0.5,0,20
10.8725,-0.175781,0,10.8739,0.5,0,21
10.8653,-0.1503,0,10.8664,0.5,0,22
10.8691,-0.163715,0,10.8704,0.5,0,23
10.8645,-0.146484,0,10.8655,0.5,0,24
10.8595,-0.126857,0,10.8602,0.5,0,25
10.8573,-0.117188,0,10.858,0.5,0,26
10.8718,-0.173081,0,10.8732,0.5,0,27
10.8547,-0.10234,0,10.8552,0.5,0,28
10.8525,-0.0878906,0,10.8529,0.5,0,29
10.8512,-0.0764918,0,10.8515,0.5,0,30
10.8496,-0.0585938,0,10.8498,0.5,0,31
10.8491,-0.0493724,0,10.8492,0.5,0,32
10.8482,-0.0292969,0,10.8482,0.5,0,33
10.848,-0.0211361,0,10.848,0.5,0,34
10.8478,0,0,10.8478,0.5,0,35
10.9004,-0.232438,0,10.9029,0.5,0,36
11.0611,-0.423225,0,11.0692,0.5,0,37
11.0742,-0.433739,0,11.0827,0.5,0,38
11.0483,-0.410156,0,11.056,0.5,0,39
11.032,-0.393815,0,11.039,0.5,0,40
11.0449,-0.406723,0,11.0524,0.5,0,41
11.0185,-0.380859,0,11.0251,0.5,0,42
11.0174,-0.379072,0,11.0239,0.5,0,43
11.0471,-0.408024,0,11.0546,0.5,0,44
11.0987,-0.444269,0,11.1076,0.5,0,45
11.1035,-0.444543,0,11.1124,0.5,0,46
11.0875,-0.439453,0,11.0962,0.5,0,47
11.0779,-0.435763,0,11.0865,0.5,0,48
11.1291,-0.443118,0,11.138,0.5,0,49
11.1328,-0.442764,0,11.1416,0.5,0,50
11.1455,-0.439453,0,11.1542,0.5,0,51
11.1621,-0.435194,0,11.1706,0.5,0,52
11.1677,-0.43387,0,11.1761,0.5,0,53
11.1914,-0.42764,0,11.1996,0.5,0,54
11.2071,-0.423789,0,11.2151,0.5,0,55
11.2207,-0.42062,0,11.2286,0.5,0,56
11.244,-0.416179,0,11.2517,0.5,0,57
11.25,-0.415149,0,11.2577,0.5,0,58
11.2777,-0.411791,0,11.2852,0.5,0,59
11.2793,-0.411634,0,11.2868,0.5,0,60
11.3085,-0.410283,0,11.3159,0.5,0,61
11.3086,-0.410281,0,11.316,0.5,0,62
11.3369,-0.411106,0,11.3444,0.5,0,63
11.3379,-0.411152,0,11.3453,0.5,0,64
11.3638,-0.413558,0,11.3713,0.5,0,65
11.3672,-0.413946,0,11.3747,0.5,0,66
11.3894,-0.417204,0,11.3971,0.5,0,67
11.3965,-0.41833,0,11.4042,0.5,0,68
11.4146,-0.421347,0,11.4224,0.5,0,69
11.4258,-0.423152,0,11.4336,0.5,0,70
11.4401,-0.425089,0,11.448,0.5,0,71
11.4551,-0.426739,0,11.463,0.5,0,72
11.4671,-0.427474,0,11.475,0.5,0,73
11.4844,-0.428039,0,11.4923,0.5,0,74
11.496,-0.427854,0,11.5039,0.5,0,75
11.5137,-0.427202,0,11.5216,0.5,0,76
11.5268,-0.426317,0,11.5347,0.5,0,77
11.543,-0.425088,0,11.5508,0.5,0,78
11.5586,-0.423784,0,11.5664,0.5,0,79
11.5723,-0.422677,0,11.58,0.5,0,80
11.5903,-0.421415,0,11.598,0.5,0,81
11.6016,-0.420723,0,11.6092,0.5,0,82
11.6211,-0.419958,0,11.6286,0.5,0,83
11.6309,-0.419697,0,11.6384,0.5,0,84
11.6506,-0.419715,0,11.6582,0.5,0,85
11.6602,-0.419862,0,11.6677,0.5,0,86
11.6789,-0.420669,0,11.6865,0.5,0,87
11.6895,-0.421264,0,11.697,0.5,0,88
11.7063,-0.42258,0,11.714,0.5,0,89
11.7188,-0.423662,0,11.7264,0.5,0,90
11.7332,-0.425038,0,11.7409,0.5,0,91
11.748,-0.426459,0,11.7558,0.5,0,92
11.76,-0.427478,0,11.7678,0.5,0,93
11.7773,-0.428759,0,11.7851,0.5,0,94
11.7876,-0.42923,0,11.7954,0.5,0,95
11.8066,-0.429767,0,11.8145,0.5,0,96
11.8164,-0.429698,0,11.8242,0.5,0,97
11.8359,-0.42922,0,11.8437,0.5,0,98
11.8468,-0.428628,0,11.8545,0.5,0,99
11.8652,-0.427397,0,11.8729,0.5,0,100
11.8784,-0.42629,0,11.886,0.5,0,101
11.8945,-0.42486,0,11.9021,0.5,0,102
11.9106,-0.423393,0,11.9181,0.5,0,103
11.9238,-0.422211,0,11.9313,0.5,0,104
11.9426,-0.420701,0,11.95,0.5,0,105
11.9531,-0.419915,0,11.9605,0.5,0,106
11.9739,-0.418689,0,11.9812,0.5,0,107
11.9824,-0.418256,0,11.9897,0.5,0,108
12.0043,-0.417547,0,12.0116,0.5,0,109
12.0117,-0.417377,0,12.019,0.5,0,110
12.0339,-0.417279,0,12.0411,0.5,0,111
12.041,-0.417313,0,12.0482,0.5,0,112
12.0627,-0.417788,0,12.0699,0.5,0,113
12.0703,-0.418018,0,12.0775,0.5,0,114
12.0909,-0.418909,0,12.0981,0.5,0,115
12.0996,-0.419336,0,12.1069,0.5,0,116
12.1187,-0.420377,0,12.126,0.5,0,117
12.1289,-0.420941,0,12.1362,0.5,0,118
12.1465,-0.421843,0,12.1538,0.5,0,119
12.1582,-0.422386,0,12.1655,0.5,0,120
12.1747,-0.422942,0,12.1821,0.5,0,121
12.1875,-0.423265,0,12.1948,0.5,0,122
12.2036,-0.423388,0,12.2109,0.5,0,123
12.2168,-0.423366,0,12.2241,0.5,0,124
12.2332,-0.423053,0,12.2405,0.5,0,125
12.2461,-0.422705,0,12.2534,0.5,0,126
