Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.131735,0.991285,-0.000152746,1,5.94315,-0.452206,0,5.96033,0.5,0,13,-25.0638,-25.4938,0,0.196053,-0.121065,-0.00261758,0.230435,0,35,1
0.724307,0.689477,0.00126088,1,5.47078,-0.448529,0,5.48913,0.5,0,13,123.786,33.6633,0,1.03008,0.401497,-0.00140383,1.10556,0,36,1
-0.623962,0.781454,-0.000875223,1,5.54027,-0.449068,0,5.55844,0.5,0,13,195.139,-13.1058,0,0.68914,-0.430562,0.00225315,0.812591,0,37,1
-0.557655,0.830072,-0.000794673,1,5.54096,-0.448529,0,5.55909,0.5,0,13,190.24,-11.6219,0,0.694912,-0.421648,0.00227287,0.812831,0,38,1
0.355257,0.934767,-0.00196992,1,5.69789,-0.448837,0,5.71554,0.5,0,13,-33.3489,-32.6434,0,0.19716,0.39802,0.000395235,0.444175,0,39,1
0.345417,0.938448,-0.00183885,1,5.69726,-0.448529,0,5.71489,0.5,0,13,-11.623,-30.5352,0,0.208579,0.40143,-9.90628e-05,0.452384,0,40,1
0.253931,0.967219,-0.0026794,1,5.70156,-0.450004,0,5.71929,0.5,0,13,-324.748,-46.7201,0,0.14247,0.352725,0.00403129,0.380433,0,41,1
0.174691,0.984614,-0.00430828,1,5.70522,-0.450644,0,5.72299,0.5,0,13,-679.542,-59.7524,0,0.0959534,0.284711,0.00467725,0.300482,0,42,1
0.110534,0.993865,-0.00389796,1,5.70889,-0.451106,0,5.72668,0.5,0,13,-1047.58,-71.3218,0,0.0561642,0.192373,0.00424496,0.200449,0,43,1
0.0197278,0.999805,-0.000113338,1,5.71255,-0.451334,0,5.73035,0.5,0,13,-1270.93,-77.5328,0,0.0186221,0.081242,0.00778452,0.0837117,0,44,1
-0.0793704,0.996842,0.0025163,1,5.71622,-0.451233,0,5.734,0.5,0,13,-1313.44,-77.2011,0,-0.00610045,-0.0225888,0.0058535,0.0241192,0,45,1
-0.15629,0.98771,0.00128009,1,5.71988,-0.450836,0,5.73762,0.5,0,13,-1246.53,-74.6302,0,-0.00721276,-0.116906,0.000168123,0.117128,0,46,1
-0.237469,0.971395,-0.000651941,1,5.72355,-0.450251,0,5.74123,0.5,0,13,-1101.89,-71.7793,0,0.00249102,-0.201,-0.00170259,0.201023,0,47,1
-0.368621,0.929577,-0.00213766,1,5.72721,-0.449213,0,5.7448,0.5,0,13,-1088.87,-71.7271,0,0.0374738,-0.27739,-0.0029124,0.279925,0,48,1
-0.363511,0.931586,-0.00256552,1,5.72851,-0.448529,0,5.74604,0.5,0,13,-1062.38,-72.5205,0,0.0607083,-0.307777,-0.00284895,0.31372,0,49,1
0.309837,0.950789,0.00112027,1,5.8995,-0.449479,0,5.91659,0.5,0,13,-136.634,-29.3113,0,0.197358,0.190993,-0.000270046,0.274642,0,50,1
0.357811,0.933794,0.00032049,1,5.8972,-0.448529,0,5.91423,0.5,0,13,-134.185,-28.6777,0,0.21711,0.214299,-0.000914154,0.30506,0,51,1
0.208278,0.975847,0.065897,1,5.90316,-0.450253,0,5.92031,0.5,0,13,-116.85,-28.8842,0,0.178993,0.167672,-0.00066497,0.245261,0,52,1
0.182685,0.982124,0.0453766,1,5.90683,-0.450843,0,5.92401,0.5,0,12,-164.734,-27.8098,0,0.161053,0.116527,-0.000977066,0.19879,0,53,1
0.0675246,0.995266,0.0699017,1,5.91049,-0.451241,0,5.92769,0.5,0,12,-191.019,-29.7533,0,0.147027,0.0847956,-0.00120644,0.169731,0,54,1
-0.0177562,0.999824,-0.00611705,1,5.91416,-0.451193,0,5.93134,0.5,0,12,-190.237,-29.5778,0,0.148605,0.0569852,-0.00161853,0.159165,0,55,1
