,Points:0,Points:1
0,0.0,-8.830195343539904e-05
1,0.0,0.0025548698527320113
2,0.0,0.005198041658899422
3,0.0,0.007841213465066776
4,0.0,0.010484385271234187
5,0.0,0.014008614346124104
6,0.0,0.01665178615229151
7,0.0,0.023700244302071183
8,0.0022271714922049712,0.037795198335998766
9,0.004454342984409832,0.05717649598226116
10,0.01336302895322944,0.08536247951885245
11,0.026726057906458826,0.11354453852418005
12,0.04454342984409804,0.14436584480441114
13,0.04454342984409804,0.149652188416746
14,0.0467706013363029,0.15405551249472646
15,0.04899777282850781,0.15845883657270687
16,0.055679287305122505,0.16021506431325608
17,0.060133630289532274,0.16637854066304958
18,0.06904231625835189,0.17694337882519154
19,0.07572383073496664,0.18486700744679804
20,0.0868596881959911,0.19542988334330816
21,0.08017817371937641,0.1892683692591466
22,0.09354120267260584,0.19982928289002486
23,0.10467706013363033,0.20863004424909
24,0.11358574610244992,0.2147895960676197
25,0.12917594654788414,0.22446749016414352
26,0.14699331848552338,0.233262364726313
27,0.1536748329621382,0.2358996497355847
28,0.16258351893095774,0.23941602974794696
29,0.17817371937639198,0.24380758023213606
30,0.1959910913140312,0.2481971684506932
31,0.21826280623608024,0.2508207176005416
32,0.2360801781737193,0.2525671340129313
33,0.25389755011135856,0.2525514358878761
34,0.26057906458797325,0.25298607772534165
35,0.2650334075723831,0.2507795100222717
36,0.2962138084632517,0.25075203830342513
37,0.3028953229398665,0.2498650942378069
38,0.3741648106904231,0.24980230173758625
39,0.4142538975501114,0.24976698095621205
40,0.4922048997772829,0.2496983016590956
41,0.5946547884187083,0.24960803744002824
42,0.6837416481069041,0.2495295468147523
43,0.7327394209354121,0.2494863769708505
44,0.7371937639198218,0.2486013951708643
45,0.7706013363028954,0.2485719611863858
46,0.77728285077951,0.2468039598520451
47,0.7906458797327394,0.2467921862582537
48,0.7973273942093541,0.2459052421926356
49,0.8040089086859687,0.2458993553957399
50,0.8285077951002227,0.24235354139889914
51,0.8173719376391981,0.2432444099957811
52,0.8552338530066814,0.2370436505989816
53,0.8819599109131404,0.2308527025303415
54,0.8708240534521157,0.2335056856646684
55,0.9109131403118041,0.22025450585245726
56,0.8975501113585747,0.22555262305858345
57,0.935412026726058,0.2078981191683918
58,0.9510022271714922,0.19907381062174384
59,0.9621380846325168,0.1911344838750821
60,0.975501113585746,0.18407425213151102
61,0.9933184855233852,0.16731846590072896
62,1.0155902004454342,0.14174818245145845
63,1.0267260579064592,0.12852251209246196
64,1.040089086859688,0.10472219224316397
65,1.0579064587973277,0.06153468795070788
66,1.064587973273942,0.03597814036086066
67,1.0690423162583518,0.02011518499259246
68,1.0690423162583518,0.010423555036645328
69,1.0690423162583518,0.0033750968868656033
70,1.0712694877505569,-0.0010321517223786936
