Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
1.99955,-0.383258,0,2.03595,0.5,133
2.00195,-0.385739,0,2.03878,0.5,134
2.00543,-0.387151,0,2.04246,0.5,135
2.01172,-0.38619,0,2.04845,0.5,136
2.01539,-0.386957,0,2.0522,0.5,137
2.0161,-0.390625,0,2.0536,0.5,138
2.03008,-0.390625,0,2.06732,0.5,139
2.03125,-0.389791,0,2.06831,0.5,140
2.0499,-0.391508,0,2.08695,0.5,141
2.05078,-0.391586,0,2.08783,0.5,142
2.04989,-0.390625,0,2.08678,0.5,143
2.05207,-0.390625,0,2.08892,0.5,144
2.06791,-0.393026,0,2.10493,0.5,145
2.07031,-0.393173,0,2.10732,0.5,146
2.06746,-0.390625,0,2.10404,0.5,147
2.07417,-0.390625,0,2.11063,0.5,148
2.08701,-0.393454,0,2.12378,0.5,149
2.08984,-0.393195,0,2.12651,0.5,150
2.08579,-0.390625,0,2.12205,0.5,151
2.10523,-0.394773,0,2.14192,0.5,152
2.10938,-0.394562,0,2.14596,0.5,153
2.08984,-0.395326,0,2.12691,0.5,154
2.03255,-0.389326,0,2.0695,0.5,155
2.03958,-0.390625,0,2.07665,0.5,156
2.03125,-0.389332,0,2.06823,0.5,157
2.10938,-0.393642,0,2.14579,0.5,158
2.11358,-0.390625,0,2.14937,0.5,159
2.12582,-0.393711,0,2.16197,0.5,160
2.12891,-0.39358,0,2.16498,0.5,161
2.12407,-0.390625,0,2.15969,0.5,162
2.13261,-0.390625,0,2.16809,0.5,163
2.14694,-0.392118,0,2.18246,0.5,164
2.14844,-0.391983,0,2.1839,0.5,165
2.14631,-0.390625,0,2.18157,0.5,166
2.14844,-0.393066,0,2.1841,0.5,167
2.15903,-0.390625,0,2.19408,0.5,168
2.16689,-0.390625,0,2.20182,0.5,169
2.16797,-0.389507,0,2.20268,0.5,170
2.1693,-0.389292,0,2.20396,0.5,171
2.17034,-0.390625,0,2.20521,0.5,172
2.18176,-0.390625,0,2.21645,0.5,173
2.1875,-0.385837,0,2.22127,0.5,174
2.19359,-0.384531,0,2.22704,0.5,175
2.19727,-0.384506,0,2.23065,0.5,176
2.20416,-0.380859,0,2.23682,0.5,177
2.20703,-0.379454,0,2.23941,0.5,178
2.2205,-0.377157,0,2.2523,0.5,179
2.22656,-0.376299,0,2.25814,0.5,180
2.20703,-0.381354,0,2.23974,0.5,181
2.23535,-0.372074,0,2.2661,0.5,182
2.23633,-0.371839,0,2.26703,0.5,183
2.22656,-0.374227,0,2.25779,0.5,184
2.23835,-0.371094,0,2.2689,0.5,185
2.24609,-0.368553,0,2.27613,0.5,186
2.25246,-0.36473,0,2.2818,0.5,187
2.26562,-0.359978,0,2.29404,0.5,188
2.24609,-0.366236,0,2.27576,0.5,189
2.26562,-0.358554,0,2.29382,0.5,190
2.27334,-0.351562,0,2.30036,0.5,191
2.28066,-0.351562,0,2.30759,0.5,192
