Points_0,Points_1,Points_2,Point ID
13.6862,-0.47393,0,213
13.6914,-0.473331,0,214
13.7096,-0.470105,0,215
13.7109,-0.469922,0,216
13.7156,-0.46875,0,217
13.7305,-0.465214,0,218
13.7348,-0.464398,0,219
13.75,-0.460625,0,220
13.7609,-0.457844,0,221
13.7695,-0.455726,0,222
13.7887,-0.449553,0,223
13.7891,-0.449477,0,224
13.7896,-0.449219,0,225
13.8086,-0.442138,0,226
13.8197,-0.438126,0,227
13.8281,-0.435326,0,228
13.8396,-0.429688,0,229
13.8477,-0.425577,0,230
13.8547,-0.422683,0,231
13.8672,-0.417061,0,232
13.8787,-0.410156,0,233
13.8867,-0.405155,0,234
13.8973,-0.399528,0,235
13.9062,-0.39487,0,236
13.9119,-0.390625,0,237
13.9258,-0.381183,0,238
13.939,-0.371094,0,239
13.9453,-0.365789,0,240
13.963,-0.351562,0,241
13.9648,-0.349904,0,242
13.9798,-0.336598,0,243
13.9844,-0.33257,0,244
13.9849,-0.332031,0,245
13.9981,-0.318304,0,246
14.0037,-0.3125,0,247
14.0039,-0.312263,0,248
14.02,-0.292969,0,249
14.0234,-0.289048,0,250
14.0354,-0.273438,0,251
14.043,-0.263473,0,252
14.0502,-0.253906,0,253
14.0604,-0.236463,0,254
14.0615,-0.234375,0,255
14.0625,-0.232867,0,256
14.0725,-0.214844,0,257
14.082,-0.195834,0,258
14.0824,-0.195312,0,259
14.0825,-0.194832,0,260
14.0909,-0.175781,0,261
14.0959,-0.161869,0,262
14.0977,-0.15625,0,263
14.1016,-0.146259,0,264
14.1052,-0.136719,0,265
14.1064,-0.131854,0,266
14.1102,-0.117188,0,267
14.1127,-0.106053,0,268
14.1145,-0.0976562,0,269
14.1173,-0.0818764,0,270
14.118,-0.078125,0,271
14.1211,-0.0592892,0,272
14.1212,-0.0585938,0,273
14.1212,-0.058461,0,274
14.1234,-0.0390625,0,275
14.1235,-0.0366098,0,276
14.1244,-0.0195312,0,277
14.1245,-0.0161111,0,278
14.1247,0,0,279
12.0816,0.0113004,0,280
12.0818,0.0195312,0,281
12.0825,0.0317105,0,282
12.083,0.0390625,0,283
12.0842,0.0529251,0,284
12.0847,0.0585938,0,285
12.0867,0.0750261,0,286
12.0871,0.078125,0,287
12.0898,0.0915998,0,288
12.0911,0.0976562,0,289
12.0913,0.0991595,0,290
12.0952,0.117188,0,291
12.0968,0.124189,0,292
12.0999,0.136719,0,293
12.104,0.150829,0,294
12.1054,0.15625,0,295
12.1094,0.165791,0,296
12.1135,0.175781,0,297
12.1155,0.181928,0,298
12.1205,0.195312,0,299
12.1289,0.213453,0,300
12.1297,0.214844,0,301
12.1301,0.216082,0,302
12.1391,0.234375,0,303
12.1484,0.250753,0,304
12.1506,0.253906,0,305
12.1528,0.258312,0,306
12.1615,0.273438,0,307
12.168,0.281867,0,308
12.1762,0.292969,0,309
12.1875,0.307678,0,310
12.1917,0.3125,0,311
12.207,0.331441,0,312
12.2076,0.332031,0,313
12.2127,0.337734,0,314
12.2252,0.351562,0,315
12.2266,0.352914,0,316
12.2457,0.371094,0,317
12.2461,0.371486,0,318
12.2656,0.387368,0,319
12.248,0.372954,0,320
12.2693,0.390625,0,321
12.2852,0.402582,0,322
12.2953,0.410156,0,323
12.3047,0.41724,0,324
12.3242,0.428318,0,325
12.3215,0.426961,0,326
12.3262,0.429688,0,327
12.3438,0.439471,0,328
12.3633,0.448969,0,329
12.3629,0.448829,0,330
12.3637,0.449219,0,331
12.3828,0.457624,0,332
12.4023,0.464227,0,333
12.3959,0.462265,0,334
12.4149,0.46875,0,335
12.4219,0.471364,0,336
12.4414,0.476561,0,337
12.4252,0.472081,0,338
12.4609,0.480493,0,339
12.4513,0.478615,0,340
12.4805,0.483539,0,341
12.4749,0.48273,0,342
12.5,0.485715,0,343
12.4971,0.485431,0,344
12.5195,0.487054,0,345
12.5182,0.486982,0,346
12.5391,0.48758,0,347
12.5384,0.48757,0,348
12.5586,0.487453,0,349
12.5578,0.487465,0,350
12.5781,0.48696,0,351
12.5768,0.486996,0,352
12.5977,0.486362,0,353
12.5958,0.486419,0,354
12.6172,0.485806,0,355
12.6148,0.485871,0,356
12.6367,0.485356,0,357
12.6339,0.485417,0,358
12.6562,0.485023,0,359
12.653,0.485073,0,360
12.6758,0.484801,0,361
12.6723,0.484835,0,362
12.6953,0.484676,0,363
12.6917,0.484695,0,364
12.7148,0.484633,0,365
12.7112,0.484637,0,366
12.7344,0.484649,0,367
12.7307,0.484643,0,368
12.7539,0.484706,0,369
12.7503,0.484694,0,370
12.7734,0.48479,0,371
12.7699,0.484774,0,372
12.793,0.48489,0,373
12.7896,0.484872,0,374
12.8125,0.484998,0,375
12.8092,0.484979,0,376
12.832,0.485107,0,377
12.8288,0.485089,0,378
12.8516,0.485212,0,379
12.8485,0.485196,0,380
12.8711,0.48531,0,381
12.8681,0.485296,0,382
12.8906,0.485399,0,383
12.8877,0.485386,0,384
12.9102,0.485479,0,385
12.9073,0.485468,0,386
12.9297,0.48555,0,387
12.9269,0.485541,0,388
12.9492,0.485614,0,389
12.9465,0.485605,0,390
12.9688,0.485671,0,391
12.9661,0.485664,0,392
12.9883,0.485724,0,393
12.9857,0.485717,0,394
13.0078,0.485773,0,395
13.0053,0.485767,0,396
13.0273,0.485819,0,397
13.0249,0.485814,0,398
13.0469,0.485863,0,399
13.0445,0.485858,0,400
13.0664,0.485906,0,401
13.064,0.485901,0,402
13.0859,0.485947,0,403
13.0836,0.485942,0,404
13.1055,0.485987,0,405
13.1032,0.485982,0,406
13.125,0.486026,0,407
13.1227,0.486022,0,408
13.1445,0.486065,0,409
13.1423,0.486061,0,410
13.1641,0.486103,0,411
13.1619,0.486099,0,412
13.1836,0.48614,0,413
13.1814,0.486136,0,414
13.2031,0.486177,0,415
13.201,0.486173,0,416
13.2227,0.486212,0,417
13.2206,0.486208,0,418
13.2422,0.486245,0,419
13.2401,0.486242,0,420
13.2617,0.486276,0,421
13.2597,0.486273,0,422
13.2812,0.486305,0,423
13.2793,0.486303,0,424
13.3008,0.486331,0,425
