Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.231024,0.972933,0.000161498,0.999985,18.6875,-0.478704,0,18.6936,0.5,0,12,47.2492,-22.3509,-0.66279,0.435294,-0.000826802,0.792951,0,34,1
0.254087,0.966871,0.000354138,0.9997,18.685,-0.478214,0,18.6911,0.5,0,12,132.281,-18.7857,-0.620952,0.445859,-0.000271366,0.764442,0,35,1
0.2229,0.974821,0.00015918,0.99998,18.6923,-0.479665,0,18.6985,0.5,0,12,-171.77,-36.1206,-0.741514,0.402712,-0.000923448,0.843813,0,36,1
0.226966,0.973876,-0.000255431,0.999974,18.6899,-0.479185,0,18.696,0.5,0,12,-62.2567,-29.236,-0.702152,0.419,-0.00052469,0.817667,0,37,1
0.218825,0.975734,-5.53355e-05,0.99997,18.6938,-0.47998,0,18.7,0.5,0,12,-246.043,-40.6196,-0.76211,0.383267,-0.00080432,0.853057,0,38,1
-0.165173,0.986243,3.78157e-05,0.999978,18.749,-0.479978,0,18.7551,0.5,0,12,-5.1317,-52.1018,-0.437128,-0.249832,-0.000731248,0.503485,0,39,1
-0.165107,0.986255,-0.000181094,0.99998,18.751,-0.47966,0,18.7571,0.5,0,12,53.4289,-48.3486,-0.402759,-0.256064,-0.00074475,0.477267,0,40,1
-0.155561,0.98781,-0.000172784,0.999984,18.7559,-0.478973,0,18.762,0.5,0,12,195.614,-39.5976,-0.325973,-0.255846,-0.000659985,0.414386,0,41,1
-0.160333,0.987033,0.000166298,0.99997,18.7534,-0.479317,0,18.7596,0.5,0,12,124.493,-43.9744,-0.364369,-0.255947,-0.00062984,0.445279,0,42,1
-0.154523,0.987975,-0.000174676,0.999986,18.7608,-0.478373,0,18.7669,0.5,0,12,220.95,-35.2084,-0.255588,-0.237218,-0.000582007,0.348709,0,43,1
-0.155048,0.987891,-2.96845e-05,0.999985,18.7583,-0.478673,0,18.7644,0.5,0,12,208.212,-37.4054,-0.290781,-0.246533,-0.00061261,0.381226,0,44,1
-0.171921,0.985093,-0.000204605,0.999982,18.7657,-0.477756,0,18.7717,0.5,0,12,121.59,-35.6709,-0.185632,-0.22583,-0.000497273,0.292333,0,45,1
-0.163227,0.986533,-0.000486785,0.999945,18.7632,-0.478064,0,18.7693,0.5,0,12,171.265,-35.4402,-0.220608,-0.231532,-0.00052025,0.319805,0,46,1
-0.191028,0.981563,-0.000233105,0.999979,18.7706,-0.477045,0,18.7766,0.5,0,12,67.6614,-35.2461,-0.115837,-0.229814,-0.000405808,0.257358,0,47,1
-0.181473,0.983328,-0.000474133,0.999933,18.7681,-0.4774,0,18.7742,0.5,0,12,94.6459,-35.4582,-0.150732,-0.227825,-0.000425948,0.273175,0,48,1
-0.19842,0.980094,-0.000254594,0.999977,18.7754,-0.476233,0,18.7815,0.5,0,12,75.9572,-32.7976,-0.0497593,-0.232963,-0.000308049,0.238218,0,49,1
-0.194722,0.980829,-0.000392981,0.999971,18.773,-0.476639,0,18.779,0.5,0,12,71.819,-34.022,-0.0827958,-0.231391,-0.000360261,0.245758,0,50,1
-0.196842,0.98041,-0.000253397,0.999976,18.7777,-0.475801,0,18.7838,0.5,0,12,82.8832,-31.5087,-0.0206112,-0.233737,-0.000216538,0.234644,0,51,1
-0.195262,0.980728,-0.000264403,0.999977,18.78,-0.475369,0,18.786,0.5,0,12,89.8479,-30.2211,0.00850151,-0.23451,-0.000208633,0.234664,0,52,1
0.078087,0.996923,-7.6913e-05,0.999977,19.2447,-0.475441,0,19.2506,0.5,0,12,22.7223,1.68781,0.0598328,-0.115819,0.000169116,0.130361,0,53,1
0.0778382,0.996943,-6.94322e-05,0.999977,19.2442,-0.475405,0,19.2501,0.5,0,12,22.659,1.54458,0.0573725,-0.115798,0.00017479,0.129231,0,54,1
0.0775883,0.996962,-7.5592e-05,0.999977,19.2438,-0.475369,0,19.2497,0.5,0,12,22.5935,1.40076,0.0548993,-0.115776,0.000170349,0.128133,0,55,1
0.0800841,0.996764,-8.21075e-05,0.999976,19.2496,-0.475813,0,19.2555,0.5,0,12,24.148,3.20072,0.086314,-0.115512,0.000158148,0.144199,0,56,1
0.0790862,0.996844,-0.000100871,0.999976,19.2472,-0.475627,0,19.253,0.5,0,12,23.4299,2.44465,0.073074,-0.115663,0.00018688,0.136813,0,57,1
0.0810875,0.996683,-8.44162e-05,0.999976,19.2545,-0.476171,0,19.2604,0.5,0,12,26.5827,4.61299,0.114323,-0.114739,0.000144604,0.161972,0,58,1
0.0805866,0.996724,-7.80702e-05,0.999976,19.252,-0.475992,0,19.2579,0.5,0,12,25.3616,3.90695,0.100319,-0.115122,0.000202317,0.152699,0,59,1
0.0809806,0.996692,-8.34798e-05,0.999977,19.2594,-0.476514,0,19.2653,0.5,0,12,28.8341,5.91026,0.144059,-0.11354,0.000131447,0.183423,0,60,1
0.0810348,0.996688,-5.04598e-05,0.999977,19.2569,-0.476343,0,19.2628,0.5,0,12,27.7055,5.26139,0.129191,-0.114136,0.000170393,0.172387,0,61,1
0.0797179,0.996795,-7.95501e-05,0.999978,19.2643,-0.476841,0,19.2702,0.5,0,12,29.8735,7.10184,0.175254,-0.111893,0.000119971,0.207928,0,62,1
0.0803499,0.996744,-1.92132e-05,0.999977,19.2618,-0.476678,0,19.2677,0.5,0,12,29.3519,6.50562,0.159657,-0.112713,0.000119395,0.195434,0,63,1
0.0773337,0.996984,-7.35112e-05,0.999979,19.2692,-0.47715,0,19.2751,0.5,0,12,29.5524,8.1781,0.207668,-0.109671,0.000109164,0.234848,0,64,1
0.0785262,0.99689,1.09754e-05,0.999978,19.2667,-0.476996,0,19.2726,0.5,0,12,29.7119,7.63947,0.191461,-0.11078,6.34387e-05,0.2212,0,65,1
0.0739346,0.997243,-6.65116e-05,0.99998,19.274,-0.477441,0,19.28,0.5,0,12,28.3451,9.09103,0.241195,-0.106804,9.76273e-05,0.263784,0,66,1
0.0756343,0.997114,3.66326e-05,0.999978,19.2716,-0.477295,0,19.2775,0.5,0,12,28.9492,8.63396,0.224431,-0.108237,6.25985e-06,0.249168,0,67,1
0.0696745,0.997551,-5.96372e-05,0.999982,19.2789,-0.477712,0,19.2848,0.5,0,12,26.6807,9.80592,0.275816,-0.103332,8.40904e-05,0.294537,0,68,1
0.0718044,0.997397,5.6179e-05,0.999979,19.2765,-0.477576,0,19.2824,0.5,0,12,27.5132,9.44779,0.258505,-0.105069,-5.41172e-05,0.279042,0,69,1
0.0647133,0.997887,-5.36663e-05,0.999983,19.2838,-0.477964,0,19.2897,0.5,0,12,24.9018,10.3238,0.311478,-0.0991959,6.76861e-05,0.326892,0,70,1
0.0671936,0.997719,6.87672e-05,0.999979,19.2814,-0.477838,0,19.2873,0.5,0,12,25.7885,10.0643,0.293646,-0.101267,-0.000118101,0.310617,0,71,1
0.0590145,0.998242,-4.8717e-05,0.999985,19.2887,-0.478195,0,19.2946,0.5,0,12,23.4187,10.5376,0.34782,-0.0941937,4.77128e-05,0.360349,0,72,1
0.0618637,0.998064,7.67217e-05,0.99998,19.2863,-0.47808,0,19.2922,0.5,0,12,24.1571,10.4306,0.329648,-0.0966987,-0.000181525,0.343539,0,73,1
0.0532091,0.998569,-4.42904e-05,0.999986,19.2936,-0.478405,0,19.2995,0.5,0,12,22.1375,10.338,0.383672,-0.08914,2.45437e-05,0.393891,0,74,1
0.0561116,0.998406,7.64881e-05,0.999981,19.2911,-0.4783,0,19.2971,0.5,0,12,22.7774,10.4381,0.365746,-0.0916699,-0.000218735,0.377059,0,75,1
0.0489768,0.998786,-4.09847e-05,0.999986,19.2985,-0.478597,0,19.3044,0.5,0,12,19.2971,10.3364,0.417391,-0.0851956,1.03638e-06,0.425997,0,76,1
