Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.502178,0.864727,0.00039557,0.999967,19.6347,-0.376041,0,19.6383,0.5,0,12,8.74119,-5.0359,-0.540041,0.139779,-0.00246959,0.557843,0,0,1
-0.506114,0.86244,0.000345997,0.999977,19.6332,-0.376847,0,19.6368,0.5,0,12,8.76571,-4.2827,-0.544461,0.135816,-0.00249294,0.561151,0,1,1
-0.505042,-0.863069,0.000379547,0.999978,19.6341,0.376847,0,19.6377,0.5,0,12,8.69197,4.59647,-0.544257,-0.137948,-0.00155515,0.561469,0,2,1
-0.502278,-0.864673,0.000334172,0.999971,19.6349,0.376357,0,19.6386,0.5,0,12,8.66611,5.07821,-0.54127,-0.140342,-0.00158169,0.559171,0,3,1
0.276225,0.961071,0.000100879,0.999979,18.7418,-0.48062,0,18.748,0.5,0,12,-108.963,-35.8167,-0.602548,0.336264,-0.000699816,0.690027,0,4,1
0.277689,0.960649,0.000161846,0.999979,18.7413,-0.480457,0,18.7474,0.5,0,12,-102.526,-35.0464,-0.597096,0.342712,-0.000700256,0.688459,0,5,1
0.279151,0.960227,0.000104134,0.99998,18.7407,-0.480296,0,18.7469,0.5,0,12,-96.1192,-34.2773,-0.591653,0.349145,-0.000687866,0.686991,0,6,1
0.231309,0.972861,7.21181e-05,0.999981,18.7467,-0.481757,0,18.7529,0.5,0,12,-151.659,-39.7813,-0.643345,0.263129,-0.000740384,0.695075,0,7,1
0.253764,0.966966,0.000193654,0.99971,18.7443,-0.481188,0,18.7505,0.5,0,12,-130.331,-37.7978,-0.622949,0.29969,-0.00071032,0.691289,0,8,1
0.172963,0.984912,4.36618e-05,0.999983,18.7516,-0.482552,0,18.7578,0.5,0,12,-167.325,-40.3596,-0.690345,0.200803,-0.00077607,0.718956,0,9,1
0.202136,0.978885,0.000296126,0.999538,18.7492,-0.482155,0,18.7554,0.5,0,12,-159.454,-40.0691,-0.666846,0.231963,-0.000528863,0.706039,0,10,1
0.121331,0.992598,1.93431e-05,0.999986,18.7565,-0.483103,0,18.7627,0.5,0,12,-200.572,-40.2308,-0.734499,0.153958,-0.000797598,0.750461,0,11,1
0.147148,0.988754,0.00027434,0.999644,18.754,-0.482828,0,18.7603,0.5,0,12,-183.906,-40.2942,-0.71242,0.17738,-0.000261898,0.73417,0,12,1
0.082494,0.996578,-2.40607e-06,0.999986,18.7614,-0.483483,0,18.7676,0.5,0,12,-349.977,-43.4156,-0.764943,0.114737,-0.000803836,0.7735,0,13,1
0.101913,0.994588,4.04525e-05,0.999795,18.7589,-0.483293,0,18.7652,0.5,0,12,-275.239,-41.8224,-0.749717,0.134348,6.73757e-05,0.761659,0,14,1
0.0497674,0.998746,-2.59986e-05,0.999985,18.7663,-0.483738,0,18.7725,0.5,0,12,-517.835,-49.092,-0.771774,0.0591009,-0.000792824,0.774034,0,15,1
0.0661298,0.997662,-0.000173247,0.999851,18.7638,-0.48361,0,18.7701,0.5,0,12,-433.88,-46.253,-0.768353,0.0869213,9.33961e-05,0.773254,0,16,1
0.0155298,0.999863,-5.30707e-05,0.999984,18.7712,-0.483866,0,18.7774,0.5,0,12,-508.224,-51.5561,-0.752531,-0.00913781,-0.000766237,0.752587,0,17,1
0.0326478,0.999304,-0.000125735,0.999837,18.7687,-0.483802,0,18.7749,0.5,0,12,-513.019,-50.3236,-0.762147,0.0249862,-0.000135079,0.762556,0,18,1
-0.0183348,0.999816,-8.15818e-05,0.999984,18.776,-0.483858,0,18.7823,0.5,0,12,-372.972,-50.0715,-0.712038,-0.0700943,-0.000729865,0.71548,0,19,1
-0.00140244,0.999839,-6.36179e-05,0.99984,18.7736,-0.483862,0,18.7798,0.5,0,12,-440.596,-50.8135,-0.73228,-0.0396107,-0.000257536,0.733351,0,20,1
