Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
15.5912,-0.307882,0,15.5943,11.0111,0.5,0,12,15.2176,11.0111,1.27844,-0.220499,-0.000191465,1.29732,0,0,1
15.5947,-0.312562,0,15.5978,12.6404,0.5,0,12,-0.869486,12.6404,1.26558,-0.211525,-0.000116087,1.28314,0,1,1
15.5898,-0.305981,0,15.5928,11.9646,0.5,0,12,8.49119,11.9646,1.284,-0.224518,-0.000376253,1.30348,0,2,1
15.5949,-0.312808,0,15.598,12.7436,0.5,0,12,-2.09275,12.7436,1.26507,-0.210651,-0.000106669,1.28249,0,3,1
15.5875,-0.302956,0,15.5905,13.5157,0.5,0,12,-6.61515,13.5157,1.29129,-0.232795,-0.000623118,1.31211,0,4,1
15.5985,-0.317734,0,15.6018,13.4175,0.5,0,12,-13.4365,13.4175,1.26521,-0.188547,0.000508646,1.27919,0,5,1
15.5995,-0.318963,0,15.6028,13.0425,0.5,0,12,-8.8578,13.0425,1.26351,-0.181644,0.00058664,1.2765,0,6,1
15.5849,-0.299262,0,15.5878,15.6313,0.5,0,12,-20.586,15.6313,1.28858,-0.24523,-0.000452825,1.31171,0,7,1
15.584,-0.29803,0,15.5868,15.7043,0.5,0,12,-21.2449,15.7043,1.28804,-0.250188,-0.000405046,1.31212,0,8,1
15.6025,-0.32266,0,15.6058,9.72767,0.5,0,12,15.8857,9.72767,1.25776,-0.162731,0.000929939,1.26825,0,9,1
15.6044,-0.325048,0,15.6078,8.27831,0.5,0,12,27.3333,8.27831,1.24488,-0.152229,0.00104492,1.25416,0,10,1
15.5807,-0.293103,0,15.5835,14.1805,0.5,0,12,5.52725,14.1805,1.2885,-0.261607,0.000100343,1.31479,0,11,1
15.58,-0.292131,0,15.5827,14.2627,0.5,0,12,6.85823,14.2627,1.29085,-0.263261,0.000162338,1.31742,0,12,1
15.5773,-0.288177,0,15.58,14.8791,0.5,0,12,-2.43075,14.8791,1.30131,-0.269218,0.000101946,1.32886,0,13,1
15.6065,-0.327586,0,15.61,6.90969,0.5,0,12,35.801,6.90969,1.22849,-0.144597,0.00110052,1.23697,0,14,1
15.6093,-0.330966,0,15.6128,9.21157,0.5,0,12,20.1161,9.21157,1.20792,-0.132884,0.00129547,1.21521,0,15,1
15.5751,-0.28489,0,15.5777,17.3244,0.5,0,12,-22.1371,17.3244,1.29924,-0.277054,4.48937e-05,1.32846,0,16,1
15.574,-0.283251,0,15.5765,17.5606,0.5,0,12,-26.0292,17.5606,1.29794,-0.282745,4.01846e-05,1.32838,0,17,1
15.6106,-0.332512,0,15.6142,10.4505,0.5,0,12,10.2457,10.4505,1.20019,-0.123712,0.0012567,1.20655,0,18,1
15.6142,-0.336794,0,15.6178,13.7364,0.5,0,12,-10.3453,13.7364,1.19426,-0.0927584,0.00111953,1.19786,0,19,1
15.571,-0.278325,0,15.5735,16.1978,0.5,0,12,3.36318,16.1978,1.29707,-0.292234,-8.91342e-05,1.32958,0,20,1
15.5702,-0.277201,0,15.5727,16.5439,0.5,0,12,1.86696,16.5439,1.29927,-0.293841,-3.57949e-05,1.33208,0,21,1
15.5678,-0.273399,0,15.5702,17.3992,0.5,0,12,-14.0899,17.3992,1.30622,-0.299545,0.000100087,1.34012,0,22,1
15.6148,-0.337438,0,15.6184,13.6789,0.5,0,12,-11.4446,13.6789,1.19375,-0.0874362,0.00111063,1.19694,0,23,1
15.6189,-0.342365,0,15.6227,10.7252,0.5,0,12,7.84266,10.7252,1.18591,-0.0516619,0.00125098,1.18704,0,24,1
15.5653,-0.269288,0,15.5677,18.9271,0.5,0,12,-19.4931,18.9271,1.29805,-0.308116,4.51673e-05,1.33412,0,25,1
15.5648,-0.268473,0,15.5671,18.6892,0.5,0,12,-17.7512,18.6892,1.29714,-0.310513,2.99598e-05,1.33379,0,26,1
15.6191,-0.342539,0,15.6228,10.6155,0.5,0,12,8.65503,10.6155,1.18524,-0.0506438,0.00125749,1.18633,0,27,1
15.562,-0.263547,0,15.5642,17.741,0.5,0,12,-5.98271,17.741,1.3037,-0.316069,-6.61724e-05,1.34147,0,28,1
15.5604,-0.260979,0,15.5626,19.3874,0.5,0,12,-19.5106,19.3874,1.30234,-0.319349,-8.44244e-05,1.34092,0,29,1
15.559,-0.258621,0,15.5612,19.5654,0.5,0,12,-26.703,19.5654,1.3007,-0.324706,-7.92585e-05,1.34061,0,30,1
15.6233,-0.347291,0,15.6271,5.41486,0.5,0,12,26.33,5.41486,1.16105,-0.0439422,0.00143691,1.16188,0,31,1
15.624,-0.348038,0,15.6279,5.0746,0.5,0,12,26.1099,5.0746,1.15815,-0.0442302,0.00148527,1.15899,0,32,1
15.5564,-0.253695,0,15.5585,19.0826,0.5,0,12,-9.16803,19.0826,1.29807,-0.331287,-3.37683e-05,1.33968,0,33,1
15.5556,-0.252219,0,15.5576,19.6204,0.5,0,12,-11.4014,19.6204,1.29865,-0.332737,-3.13187e-05,1.3406,0,34,1
15.5536,-0.248768,0,15.5556,19.581,0.5,0,12,-18.1582,19.581,1.29944,-0.337632,-1.80474e-05,1.34259,0,35,1
15.6278,-0.352217,0,15.6318,6.97105,0.5,0,12,14.1128,6.97105,1.14417,-0.0641578,0.00179635,1.14597,0,36,1
15.6289,-0.353334,0,15.6329,7.02822,0.5,0,12,9.43864,7.01944,1.14575,-0.0672638,0.00184176,1.14772,0,37,1
15.5512,-0.243842,0,15.5531,20.2521,0.5,0,12,-12.6067,20.2521,1.2936,-0.342353,4.59335e-06,1.33814,0,38,1
15.5507,-0.243002,0,15.5526,20.4463,0.5,0,12,-12.6475,20.4463,1.2936,-0.343251,7.31921e-06,1.33836,0,39,1
15.5485,-0.238916,0,15.5503,19.7824,0.5,0,12,-15.0963,19.7824,1.29382,-0.348299,6.73422e-06,1.33989,0,40,1
15.6325,-0.357143,0,15.6365,11.5001,0.5,0,12,-26.312,11.4898,1.1621,-0.0735679,0.00200712,1.16443,0,41,1
15.6338,-0.358508,0,15.6379,11.6321,0.5,0,12,-28.6926,11.6104,1.16523,-0.0700618,0.00216252,1.16733,0,42,1
15.5511,0.243842,0,15.5531,20.4048,0.5,0,12,-13.9954,-20.4048,1.29341,0.342822,2.25118e-05,1.33807,0,43,1
15.5507,0.243016,0,15.5526,20.5931,0.5,0,12,-14.0541,-20.5931,1.29328,0.343762,2.1043e-05,1.33819,0,44,1
15.5536,0.248768,0,15.5556,19.6123,0.5,0,12,-18.3901,-19.6123,1.29971,0.337842,3.16632e-05,1.3429,0,45,1
15.5556,0.252227,0,15.5576,19.5592,0.5,0,12,-10.8411,-19.5592,1.29882,0.332938,6.77619e-05,1.34082,0,46,1
15.5485,0.238916,0,15.5503,19.8758,0.5,0,12,-16.2508,-19.8758,1.29303,0.348946,3.04377e-05,1.33929,0,47,1
15.5462,-0.23399,0,15.5479,20.7398,0.5,0,12,-13.7304,20.7398,1.28823,-0.350929,2.77138e-06,1.33518,0,48,1
15.5458,-0.233263,0,15.5475,20.896,0.5,0,12,-13.7597,20.896,1.28783,-0.351668,8.45304e-07,1.33498,0,49,1
15.5437,-0.229064,0,15.5453,19.884,0.5,0,12,-14.9947,19.884,1.28608,-0.356862,1.72357e-06,1.33467,0,50,1
