Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.245252,0.969438,9.32324e-06,0.999979,13.411,-0.480879,0,13.4196,39.5701,0.5,0,12,-67.2751,-35.1783,-0.680603,0.351915,-1.42925e-05,0.766201,0,0,1
0.250952,0.96796,8.27082e-05,0.999962,13.4099,-0.480588,0,13.4185,37.4742,0.5,0,12,-50.0179,-33.53,-0.668733,0.366549,-0.000214067,0.762602,0,1,1
0.256651,0.966483,8.48342e-06,0.99998,13.4088,-0.480296,0,13.4174,35.3785,0.5,0,12,-32.7423,-31.8818,-0.656866,0.381186,-2.02247e-05,0.759457,0,2,1
0.195882,0.980608,8.72533e-06,0.999981,13.4159,-0.481832,0,13.4245,49.4045,0.5,0,12,-143.23,-39.8212,-0.726994,0.278487,-6.71222e-06,0.778509,0,3,1
0.220567,0.975023,0.000121541,0.999659,13.4135,-0.481356,0,13.4221,44.4875,0.5,0,12,-105.244,-37.5002,-0.7038,0.315206,0.000379392,0.771161,0,4,1
0.141615,0.989905,6.34464e-06,0.999983,13.4208,-0.482488,0,13.4295,54.3291,0.5,0,12,-215.672,-42.4918,-0.771627,0.210754,-3.02833e-06,0.799891,0,5,1
0.168749,0.985256,0.000215766,0.999603,13.4183,-0.48216,0,13.427,51.8672,0.5,0,12,-179.459,-41.1571,-0.749313,0.244623,0.000405604,0.788233,0,6,1
0.0934134,0.995613,2.93669e-06,0.999985,13.4257,-0.482927,0,13.4344,56.8866,0.5,0,12,-294.302,-44.5022,-0.806927,0.150022,-4.54151e-06,0.820754,0,7,1
0.117514,0.992759,0.000202038,0.99969,13.4232,-0.482707,0,13.4319,55.6083,0.5,0,12,-255.005,-43.4976,-0.78928,0.180388,0.000524023,0.809631,0,8,1
0.052609,0.998602,-9.17818e-07,0.999987,13.4306,-0.483195,0,13.4392,58.3605,0.5,0,12,-389.056,-46.4468,-0.826652,0.0938695,-9.75981e-06,0.831964,0,9,1
0.0730111,0.997107,0.000136333,0.999777,13.4281,-0.483061,0,13.4368,57.6239,0.5,0,12,-341.702,-45.4749,-0.816792,0.121944,0.000705291,0.825845,0,10,1
0.0174143,0.999836,-4.76465e-06,0.999987,13.4354,-0.483323,0,13.4441,58.9708,0.5,0,12,-461.15,-48.3416,-0.825691,0.0395007,-1.55765e-05,0.826636,0,11,1
0.0350117,0.999219,5.82628e-05,0.999832,13.433,-0.483259,0,13.4417,58.6658,0.5,0,12,-425.118,-47.3943,-0.826174,0.0666824,0.000879842,0.828861,0,12,1
