Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.0185915,0.999827,-0.00066431,1,7.57148,-0.433069,0,7.58385,0.5,0,10,-1.71471,-8.00804,0.616812,-0.00959056,-0.000961041,0.616887,0,36,1
-0.0410827,0.999155,-0.000792766,1,7.59108,-0.432588,0,7.6034,0.5,0,10,-0.511711,-7.6882,0.626334,-0.022612,-0.000142932,0.626742,0,37,1
-0.0568301,0.998384,-0.000585266,1,7.61069,-0.431688,0,7.62293,0.5,0,10,0.899601,-7.13092,0.641216,-0.0289761,0.000314901,0.64187,0,38,1
-0.0604058,0.998174,-0.000249482,1,7.6303,-0.430697,0,7.64245,0.5,0,10,1.76337,-6.57825,0.656586,-0.0297878,0.00039103,0.657262,0,39,1
-0.05621,0.998419,0.00014781,1,7.64991,-0.429695,0,7.66197,0.5,0,10,2.25843,-6.05758,0.671379,-0.0268736,0.000213509,0.671917,0,40,1
-0.0432743,0.999063,0.000517595,1,7.66952,-0.428854,0,7.6815,0.5,0,10,2.31563,-5.70002,0.683428,-0.019323,-0.000352137,0.683701,0,41,1
-0.0287895,0.999585,0.000778627,1,7.68913,-0.428281,0,7.70105,0.5,0,10,2.20176,-5.52439,0.691853,-0.0104141,-0.00101627,0.691932,0,42,1
-0.0116049,0.999932,0.000952976,1,7.70874,-0.427914,0,7.72061,0.5,0,10,2.00083,-5.48523,0.697705,-0.00110728,-0.00170425,0.697708,0,43,1
0.00625396,0.99998,0.00097488,1,7.72835,-0.427902,0,7.74019,0.5,0,10,1.74904,-5.66531,0.699397,0.00705785,-0.00227186,0.699436,0,44,1
0.0170979,0.999853,0.000886598,1,7.74796,-0.428119,0,7.75978,0.5,0,10,1.54934,-5.97058,0.698659,0.0123544,-0.0026929,0.698774,0,45,1
0.0238986,0.999714,0.000732968,1,7.76757,-0.42846,0,7.77938,0.5,0,10,1.37777,-6.33642,0.696519,0.0153966,-0.00301281,0.696696,0,46,1
0.0247928,0.999692,0.000513223,1,7.78718,-0.428899,0,7.79898,0.5,0,10,1.23052,-6.72323,0.693404,0.0145419,-0.0032,0.693564,0,47,1
0.020347,0.999793,0.000291216,1,7.80679,-0.42927,0,7.81858,0.5,0,10,1.06429,-7.04254,0.690877,0.011267,-0.00334612,0.690977,0,48,1
0.0122825,0.999925,7.72734e-05,1,7.8264,-0.429564,0,7.83818,0.5,0,10,0.916479,-7.30011,0.689136,0.0067049,-0.00349173,0.689177,0,49,1
0.000616102,1,-0.000104045,1,7.846,-0.429672,0,7.85776,0.5,0,10,0.868922,-7.43228,0.689582,0.00108292,-0.00370549,0.689593,0,50,1
-0.00926787,0.999957,-0.000226059,1,7.86561,-0.429584,0,7.87734,0.5,0,10,0.938164,-7.44844,0.692525,-0.00402807,-0.00400549,0.692548,0,51,1
-0.0184732,0.999829,-0.000297757,1,7.88522,-0.429369,0,7.89691,0.5,0,10,1.05882,-7.39484,0.697074,-0.00848825,-0.00434655,0.697139,0,52,1
-0.0265005,0.999649,-0.000274933,1,7.90483,-0.42898,0,7.91646,0.5,0,10,1.19891,-7.25821,0.703721,-0.0113515,-0.00470945,0.703828,0,53,1
-0.0303043,0.999541,-0.000163149,1,7.92444,-0.428503,0,7.93602,0.5,0,10,1.30006,-7.09756,0.711337,-0.0125116,-0.00500544,0.711465,0,54,1
-0.0316468,0.999499,-6.64583e-07,1,7.94405,-0.42799,0,7.95557,0.5,0,10,1.38046,-6.93316,0.719279,-0.0126103,-0.00523747,0.719409,0,55,1
-0.0302208,0.999543,0.000218182,1,7.96366,-0.427469,0,7.97513,0.5,0,10,1.43596,-6.78959,0.727177,-0.0112846,-0.00531959,0.727284,0,56,1
-0.0270889,0.999633,0.000425121,1,7.98327,-0.427002,0,7.99468,0.5,0,10,1.47451,-6.6911,0.734309,-0.00922167,-0.00518162,0.734385,0,57,1
-0.0229872,0.999736,0.000606191,1,8.00288,-0.426582,0,8.01424,0.5,0,10,1.50183,-6.6248,0.740827,-0.00685635,-0.00488158,0.740875,0,58,1
-0.0178217,0.999841,0.00072193,1,8.02249,-0.426248,0,8.0338,0.5,0,10,1.51218,-6.61087,0.746265,-0.00437232,-0.00430414,0.74629,0,59,1
-0.0139251,0.999903,0.000761984,1,8.0421,-0.425997,0,8.05337,0.5,0,10,1.50693,-6.64055,0.750657,-0.00226843,-0.00349285,0.750668,0,60,1
-0.0109934,0.999939,0.000756124,1,8.06171,-0.42579,0,8.07294,0.5,0,10,1.49334,-6.69344,0.754462,-0.000520247,-0.00257377,0.754467,0,61,1
-0.00918252,0.999958,0.000690023,1,8.08132,-0.425634,0,8.09252,0.5,0,10,1.47097,-6.77214,0.75753,0.000557635,-0.00156637,0.757531,0,62,1
-0.00922486,0.999957,0.000595821,1,8.10093,-0.425487,0,8.11209,0.5,0,10,1.44745,-6.85788,0.760299,0.000857995,-0.000678709,0.760299,0,63,1
-0.0105388,0.999944,0.000499756,1,8.12054,-0.425329,0,8.13167,0.5,0,10,1.427,-6.93994,0.76307,0.000651081,7.14283e-05,0.76307,0,64,1
-0.0134602,0.999909,0.000421851,1,8.14014,-0.425138,0,8.15124,0.5,0,10,1.41621,-7.00627,0.766072,-0.000280379,0.000547078,0.766072,0,65,1
-0.0166304,0.999862,0.000393787,1,8.15975,-0.424883,0,8.17081,0.5,0,10,1.42624,-7.03995,0.769731,-0.00152597,0.000635184,0.769732,0,66,1
-0.0197356,0.999805,0.000392246,1,8.17936,-0.424585,0,8.19038,0.5,0,10,1.44542,-7.05485,0.773882,-0.00282577,0.000480345,0.773887,0,67,1
-0.0231345,0.999732,0.000421516,1,8.19897,-0.424224,0,8.20994,0.5,0,10,1.47286,-7.04612,0.778763,-0.00402637,-1.88715e-05,0.778774,0,68,1
-0.0253656,0.999678,0.000437486,1,8.21858,-0.42381,0,8.2295,0.5,0,10,1.49847,-7.02103,0.784282,-0.00504667,-0.000690586,0.784298,0,69,1
-0.0266856,0.999644,0.000426416,1,8.23819,-0.42337,0,8.24906,0.5,0,10,1.52552,-6.98756,0.790108,-0.00590149,-0.00137294,0.790132,0,70,1
-0.0272455,0.999629,0.000359919,1,8.2578,-0.422905,0,8.26862,0.5,0,10,1.55633,-6.94537,0.796204,-0.00646243,-0.00198559,0.796232,0,71,1
-0.0268533,0.999639,0.000206587,1,8.27741,-0.422439,0,8.28818,0.5,0,10,1.59415,-6.90498,0.802195,-0.00663777,-0.00248672,0.802226,0,72,1
-0.0259699,0.999663,7.55733e-06,1,8.29702,-0.42198,0,8.30774,0.5,0,10,1.63541,-6.86891,0.808057,-0.00659777,-0.00295973,0.808089,0,73,1
-0.0245125,0.999699,-0.000247182,1,8.31663,-0.421538,0,8.3273,0.5,0,10,1.67961,-6.84233,0.813615,-0.0062802,-0.00344067,0.813647,0,74,1
-0.023085,0.999733,-0.000508617,1,8.33624,-0.421123,0,8.34687,0.5,0,10,1.719,-6.83151,0.818732,-0.00577304,-0.00387804,0.818761,0,75,1
-0.0218539,0.999761,-0.000745497,1,8.35585,-0.420723,0,8.36643,0.5,0,10,1.75343,-6.8304,0.82365,-0.00522086,-0.00424441,0.823678,0,76,1
-0.0206236,0.999787,-0.000930007,1,8.37546,-0.420345,0,8.386,0.5,0,10,1.77943,-6.84232,0.828296,-0.00466447,-0.00445338,0.828321,0,77,1
-0.019868,0.999802,-0.00100371,1,8.39414,-0.42,0,8.40464,0.5,0,10,1.78781,-6.86596,0.832537,-0.0042731,-0.0043971,0.83256,0,78,1
0.866886,0.496886,0.04015,1,6.90812,-0.4,0,6.91969,0.5,0,10,6.06216,-0.528656,1.37771,0.249943,-0.0525883,1.40118,0,79,1
-0.0198317,0.999803,-0.0010074,1,8.39507,-0.41998,0,8.40556,0.5,0,10,1.78766,-6.86749,0.832724,-0.00423971,-0.00439234,0.832746,0,80,1
-0.0193979,0.999811,-0.00101974,1,8.41467,-0.419562,0,8.42513,0.5,0,10,1.77229,-6.90506,0.836547,-0.00368766,-0.00412338,0.836565,0,81,1
-0.0192746,0.999814,-0.000945362,1,8.43428,-0.419156,0,8.44469,0.5,0,10,1.73947,-6.94787,0.840248,-0.00337563,-0.00363636,0.840262,0,82,1
-0.0194352,0.999811,-0.000802791,1,8.45389,-0.418749,0,8.46426,0.5,0,10,1.70422,-6.98596,0.843785,-0.00333881,-0.002965,0.843797,0,83,1
-0.0196861,0.999806,-0.00064359,1,8.4735,-0.418342,0,8.48382,0.5,0,10,1.67965,-7.01852,0.847222,-0.00339512,-0.00226238,0.847232,0,84,1
-0.0201542,0.999797,-0.000477047,1,8.49311,-0.417931,0,8.50339,0.5,0,10,1.67565,-7.04248,0.850506,-0.00352309,-0.00155709,0.850514,0,85,1
-0.0206733,0.999786,-0.000352058,1,8.51272,-0.41751,0,8.52295,0.5,0,10,1.69668,-7.05273,0.85394,-0.0036824,-0.00102488,0.853949,0,86,1
-0.0212314,0.999775,-0.000256865,1,8.53233,-0.417083,0,8.54252,0.5,0,10,1.72072,-7.05343,0.857695,-0.00383103,-0.000622032,0.857703,0,87,1
-0.0222093,0.999753,-0.000200986,1,8.55194,-0.416645,0,8.56208,0.5,0,10,1.74267,-7.04093,0.861962,-0.0039393,-0.000395159,0.861971,0,88,1
-0.023154,0.999732,-0.000172917,1,8.57155,-0.416184,0,8.58165,0.5,0,10,1.74824,-7.01672,0.866874,-0.00384258,-0.000253853,0.866883,0,89,1
-0.0238704,0.999715,-0.000154667,1,8.59116,-0.415714,0,8.60121,0.5,0,10,1.75002,-6.98828,0.872047,-0.00365076,-6.3482e-05,0.872055,0,90,1
-0.0247621,0.999693,-0.000145277,1,8.61077,-0.41523,0,8.62077,0.5,0,10,1.74927,-6.95613,0.877491,-0.00334377,0.000237079,0.877497,0,91,1
-0.0253777,0.999678,-0.000145108,1,8.63038,-0.414729,0,8.64034,0.5,0,10,1.75556,-6.92059,0.883179,-0.00296242,0.000814899,0.883185,0,92,1
-0.0256752,0.99967,-0.000146649,1,8.64999,-0.414225,0,8.6599,0.5,0,10,1.77254,-6.88195,0.888965,-0.00257462,0.0015306,0.88897,0,93,1
