Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
1,-0,-0,1,19.9926,-0.5,0,19.9989,2.26941,0.5,0.251602,5.5,-0.000440707,-2.26941,0.0142482,1.78523e-06,2.12314e-06,0.0142482,1,0,1
1,-0,-0,1,19.9926,-0.48,0,19.9984,3.59031,0.5,0,5,0.00399434,-3.59031,0.103047,0.000126746,-2.21302e-05,0.103047,1,1,1
0.264913,0.964272,-0.000625344,1,16.135,-0.469951,0,16.1418,45.0618,0.5,0,12,-404.78,-43.4405,-0.286292,0.385734,0.00288426,0.480377,0,2,1
0.700769,0.713245,-0.0143012,1,16.1166,-0.46,0,16.1232,14.9597,0.5,0,12,237.731,-14.9597,0.12532,0.643703,-0.000625623,0.655788,0,3,1
-0.0119513,0.999929,0,1,16.1546,-0.47,0,16.1614,46.7206,0.5,0,12,-570.546,-46.7206,-0.277916,-0.0946217,0.00477617,0.293621,0,4,1
-0.300416,0.953808,-3.63022e-05,1,16.1742,-0.469708,0,16.181,30.5298,0.5,0,12,83.1062,-30.5298,-0.0775459,-0.349023,0.00590115,0.357582,0,5,1
-0.679632,0.733544,0.00359105,1,16.1906,-0.46,0,16.1972,38.8416,0.5,0,12,70.6293,-38.8416,0.280728,-0.437334,0.00433704,0.5197,0,6,1
0.247496,0.968884,-0.00305156,1,16.5472,-0.468805,0,16.5539,27.1118,0.5,0,12,-161.367,-26.0481,-0.152968,0.157072,-0.000965533,0.219252,0,7,1
0.663675,0.74802,-0.00162907,1,16.5277,-0.46,0,16.5341,25.4556,0.5,0,12,-45.6332,-25.4556,-0.00503513,0.349893,-0.00288345,0.349941,0,8,1
-0.0185546,0.999827,-0.00144313,1,16.5669,-0.469198,0,16.5735,28.2447,0.5,0,12,-201.831,-27.841,-0.143928,-0.0221317,0.00158903,0.145628,0,9,1
-0.257967,0.966136,-0.00590751,1,16.5865,-0.468381,0,16.5931,24.9801,0.5,0,12,-44.4238,-24.9801,-0.063592,-0.139241,0.00399677,0.153127,0,10,1
-0.5994,0.800433,-0.00521773,1,16.6061,-0.460039,0,16.6125,28.7376,0.5,0,12,23.4465,-28.7376,0.126025,-0.239948,0.00703306,0.271122,0,11,1
-0.599457,0.80039,-0.00521038,1,16.6062,-0.46,0,16.6126,28.7548,0.5,0,12,23.4618,-28.7548,0.126667,-0.240143,0.00703843,0.271593,0,12,1
