Points:0,Points:1,Points:2
1.07101,0.171875,0
1.0725,0.164062,0
1.07022,0.179688,0
1.07344,0.160484,0
1.07455,0.15625,0
1.07036,0.1875,0
1.07694,0.148438,0
1.07956,0.140625,0
1.07165,0.195312,0
1.08125,0.135893,0
1.08237,0.132812,0
1.07344,0.200321,0
1.08509,0.125,0
1.0745,0.203125,0
1.08777,0.117188,0
1.08906,0.113365,0
1.09041,0.109375,0
1.09283,0.101562,0
1.0951,0.09375,0
1.07901,0.210938,0
1.09688,0.0871198,0
1.09721,0.0859375,0
1.09909,0.078125,0
1.08125,0.213485,0
1.10079,0.0703125,0
1.1023,0.0625,0
1.10361,0.0546875,0
1.10469,0.047236,0
1.10474,0.046875,0
1.10568,0.0390625,0
1.10643,0.03125,0
1.10701,0.0234375,0
1.10778,0.015625,0
1.08678,0.21875,0
1.10949,0.0078125,0
1.10971,0,0
1.08906,0.220662,0
1.09688,0.22521,0
1.09983,0.226562,0
1.10469,0.228687,0
1.1125,0.231122,0
1.12031,0.232977,0
1.12777,0.234375,0
1.12813,0.234445,0
1.13594,0.235638,0
1.14375,0.236643,0
1.15156,0.237513,0
1.15938,0.238286,0
1.16719,0.238981,0
1.175,0.239609,0
1.18281,0.240173,0
1.19063,0.240675,0
1.19844,0.241113,0
1.20625,0.241487,0
1.21406,0.241796,0
1.22188,0.242043,0
1.22793,0.242188,0
1.22969,0.242229,0
1.2375,0.242358,0
1.24531,0.242434,0
1.25313,0.24246,0
1.26094,0.242441,0
1.26875,0.242377,0
1.27656,0.24227,0
1.28083,0.242188,0
1.28438,0.242119,0
1.29219,0.241914,0
1.3,0.241644,0
1.30781,0.24129,0
1.31563,0.240971,0
1.32344,0.240624,0
1.33125,0.240163,0
1.33906,0.239648,0
1.34688,0.23908,0
1.35469,0.238463,0
1.3625,0.237795,0
1.37031,0.237079,0
1.37813,0.236316,0
1.38594,0.235507,0
1.39375,0.234656,0
1.39614,0.234375,0
1.40156,0.233745,0
1.40938,0.232778,0
1.41719,0.231742,0
1.425,0.230638,0
1.43281,0.229471,0
1.44063,0.228247,0
1.44844,0.226978,0
1.45082,0.226562,0
1.45625,0.22563,0
1.46406,0.224224,0
1.47188,0.222737,0
1.47969,0.221175,0
1.4875,0.219553,0
1.49111,0.21875,0
1.49531,0.21782,0
1.50313,0.216037,0
1.51094,0.214164,0
1.51875,0.214234,0
1.52656,0.207495,0
1.53438,0.207804,0
1.54219,0.206023,0
1.55,0.203812,0
1.55221,0.203125,0
1.55781,0.201438,0
1.56563,0.198996,0
1.57344,0.196466,0
1.57672,0.195312,0
1.58125,0.193739,0
1.58906,0.190969,0
1.59688,0.188091,0
1.5983,0.1875,0
1.60469,0.185004,0
1.6125,0.181869,0
1.61763,0.179688,0
1.62031,0.178506,0
1.62813,0.175149,0
1.63534,0.171875,0
1.63594,0.171572,0
1.64375,0.167906,0
1.65153,0.164062,0
1.65156,0.164044,0
1.65938,0.160014,0
1.66631,0.15625,0
1.66719,0.155715,0
1.675,0.151387,0
1.67982,0.148438,0
1.68281,0.146528,0
1.69063,0.141823,0
1.69228,0.140625,0
1.69844,0.13651,0
1.70356,0.132812,0
1.70625,0.130756,0
1.71406,0.125007,0
1.71407,0.125,0
1.72188,0.118886,0
1.72379,0.117188,0
1.72969,0.112046,0
1.73253,0.109375,0
1.7375,0.104595,0
1.74051,0.101562,0
1.74531,0.0964655,0
1.74782,0.09375,0
1.75313,0.0873377,0
1.75433,0.0859375,0
1.75981,0.078125,0
1.76094,0.0767543,0
1.76524,0.0703125,0
1.76875,0.064389,0
1.76995,0.0625,0
1.77384,0.0546875,0
1.77656,0.048522,0
1.77738,0.046875,0
1.78349,0.015625,0
1.78324,0.0390625,0
1.78429,0.0234375,0
1.78438,0.0270605,0
1.78438,0.0322907,0
1.78447,0.03125,0
