Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
15.7105,-0.236958,0,15.7123,2.11798,0.5,0,12.6864,0.303393,-2.11798,1.23618,-0.0774402,-0.00331335,1.23861,0,0,1
15.711,-0.237663,0,15.7128,1.91533,0.5,0,12.6271,0.391696,-1.91533,1.23583,-0.0764316,-0.00332374,1.23819,0,1,1
15.71,-0.236427,0,15.7118,2.23946,0.5,0,12.6707,0.249561,-2.23946,1.23657,-0.0780444,-0.00334376,1.23904,0,2,1
15.7257,-0.255556,0,15.7278,0.690415,0.5,0,13,0.723441,0.69003,1.219,-0.057083,-0.00314555,1.22034,0,3,1
15.7292,-0.260347,0,15.7314,1.13187,0.5,0,12.3531,0.620013,1.13187,1.21543,-0.0522545,-0.00347323,1.21655,0,4,1
15.7219,-0.250753,0,15.7239,0.402058,0.5,0,12.3516,0.775823,0.0909928,1.22585,-0.0631305,-0.00326324,1.22748,0,5,1
15.7195,-0.248148,0,15.7215,0.264843,0.5,0,12.3214,0.716575,-0.166013,1.22801,-0.0655143,-0.00308492,1.22976,0,6,1
15.7171,-0.244732,4.33681e-19,15.719,0.750404,0.5,0,12.5324,0.655723,-0.688297,1.23047,-0.0690034,-0.00318632,1.2324,0,7,1
15.7162,-0.243801,4.33681e-19,15.7181,0.825568,0.5,0,12.5192,0.648732,-0.784101,1.23121,-0.0699211,-0.00324429,1.2332,0,8,1
15.7348,-0.266525,0,15.737,1.36921,0.5,0,12,0.500002,1.36921,1.20912,-0.0438556,-0.00295289,1.20992,0,9,1
15.7353,-0.26745,0,15.7376,1.40676,0.5,0,12,0.489027,1.40676,1.20859,-0.0432433,-0.00295334,1.20936,0,10,1
15.733,-0.262963,0,15.7351,1.23057,0.5,0,12,0.53585,1.23057,1.2111,-0.0456871,-0.00289591,1.21197,0,11,1
15.7388,-0.272894,0,15.7411,1.86904,0.5,0,12.3407,0.239252,1.86904,1.20438,-0.0394245,-0.00299869,1.20503,0,12,1
15.7395,-0.274009,0,15.7419,2.0095,0.5,0,12.4912,0.147864,2.0095,1.20343,-0.0385712,-0.00300608,1.20405,0,13,1
15.7369,-0.27037,0,15.7392,1.52429,0.5,0,12,0.4604,1.52429,1.20681,-0.0414024,-0.00293475,1.20752,0,14,1
15.7366,-0.26978,0,15.7389,1.49804,0.5,0,12,0.464359,1.49804,1.20728,-0.0419713,-0.00298295,1.20801,0,15,1
15.6761,-0.203704,0,15.6775,9.54081,0.5,0,12.2384,-14.6291,-9.54081,1.30134,-0.0594608,-0.00447739,1.3027,0,16,1
15.6779,-0.205499,0,15.6792,8.85585,0.5,0,12.1275,-14.2229,-8.85585,1.2943,-0.0613503,-0.00461245,1.29576,0,17,1
15.6706,-0.199138,0,15.6718,9.99679,0.5,0,13,-10.2471,-9.99679,1.31123,-0.0514041,-0.00366307,1.31224,0,18,1
15.6671,-0.196296,0,15.6683,9.84171,0.5,0,12.7548,-11.5235,-9.84171,1.3169,-0.0468349,-0.00337156,1.31773,0,19,1
15.6849,-0.211111,0,15.6863,7.27297,0.5,0,12.9782,-3.0588,-7.27297,1.26782,-0.0709389,-0.00388578,1.2698,0,20,1
15.7423,-0.277778,0,15.7448,2.53667,0.5,0,13,-0.190524,2.53667,1.19968,-0.0356213,-0.00312548,1.20021,0,21,1
15.7439,-0.279477,0,15.7464,2.6362,0.5,0,12.7706,-0.297315,2.6362,1.19995,-0.0353504,-0.00308277,1.20048,0,22,1
15.6632,-0.192182,0,15.6644,9.96109,0.5,0,12.2222,-12.8713,-9.96109,1.34319,-0.0483347,-0.00376001,1.34406,0,23,1
15.658,-0.188889,0,15.6591,12.2368,0.5,0,12.7114,-15.432,-12.2368,1.35153,-0.0488733,-0.00497666,1.35242,0,24,1
15.7486,-0.285185,0,15.7512,3.35866,0.5,0,12.6466,-0.907249,3.35866,1.19959,-0.0301974,-0.00265193,1.19997,0,25,1
15.7512,-0.288649,0,15.7539,3.74707,0.5,0,13,-1.21936,3.74707,1.19758,-0.0259348,-0.00194086,1.19786,0,26,1
15.6559,-0.187354,0,15.657,12.6329,0.5,0,12.7928,-17.0517,-12.6329,1.35928,-0.0492503,-0.00496143,1.36018,0,27,1
15.6486,-0.18323,0,15.6496,13.3421,0.5,0,12.8321,-28.9706,-13.2511,1.36727,-0.0333478,-0.0040093,1.36768,0,28,1
15.7567,-0.296515,0,15.7594,4.0707,0.5,0,12.4282,-0.860355,4.0707,1.199,-0.0207337,-0.000467301,1.19918,0,29,1
15.7569,-0.297159,0,15.7597,4.10358,0.5,0,12.4553,-0.837162,4.10358,1.19953,-0.0212058,-0.000397969,1.19971,0,30,1
15.7549,-0.292593,0,15.7576,3.87034,0.5,0,12.5057,-1.04371,3.87034,1.1957,-0.0189785,-0.000694959,1.19585,0,31,1
15.6467,-0.181481,0,15.6477,14.2485,0.5,0,12.9163,-31.5015,-14.2485,1.37578,-0.0298688,-0.00368833,1.37611,0,32,1
15.6412,-0.177679,0,15.6422,12.3317,0.5,0,12.7251,-23.3769,-12.3317,1.40483,-0.0172658,-0.00372082,1.40494,0,33,1
15.6364,-0.174074,0,15.6373,14.4143,0.5,0,13,-23.2687,-14.4143,1.4335,-0.0143091,-0.00379208,1.43357,0,34,1
15.6559,0.186716,0,15.657,12.4611,0.5,0,12.7066,-18.8748,12.4611,1.36102,0.0557944,0.00335084,1.36217,0,35,1
15.6486,0.183537,0,15.6496,12.3947,0.5,0,12.7224,-24.7872,12.3026,1.36699,0.0358003,0.00376738,1.36746,0,36,1
15.6589,0.188889,0,15.66,11.8837,0.5,0,12.5885,-16.0931,11.8837,1.34956,0.0557325,0.003031,1.35071,0,37,1
15.6632,0.19188,0,15.6644,8.9703,0.5,0,12,-10.4967,8.9703,1.34048,0.0528068,0.00285202,1.34152,0,38,1
15.6464,0.181481,0,15.6475,13.3977,0.5,0,12.8545,-27.3694,13.3977,1.37592,0.0319562,0.00374088,1.37629,0,39,1
15.6339,-0.171553,0,15.6348,12.7622,0.5,0,12.6596,-16.5712,-12.7622,1.45853,-0.0173952,-0.00352551,1.45864,0,40,1
15.6266,-0.169009,0,15.6275,10.086,0.5,0,12.6838,-6.31864,-9.4631,1.45558,-0.0101857,-0.00322496,1.45562,0,41,1
15.6412,0.177408,0,15.6422,12.0387,0.5,0,12.7423,-21.0338,12.0387,1.40349,0.0222736,0.00298495,1.40367,0,42,1
15.6371,0.174074,0,15.638,14.541,0.5,0,13,-26.5308,14.541,1.42953,0.0189004,0.00285328,1.42966,0,43,1
15.6339,0.170884,0,15.6348,12.5614,0.5,0,12.5693,-19.7903,12.5614,1.46008,0.0211593,0.0027314,1.46024,0,44,1
15.6266,0.16795,0,15.6275,11.9481,0.5,0,12.8268,-13.7062,11.6225,1.46194,0.0135459,0.00195497,1.462,0,45,1
15.7684,-0.314815,0,15.7715,5.86513,0.5,0,12.331,-0.908138,5.86513,1.20323,-0.0234568,0.000804876,1.20346,0,46,1
15.7711,-0.322222,0,15.7744,6.14958,0.5,0,12.3101,0.258454,6.14958,1.21292,-0.0333404,0.000294792,1.21338,0,47,1
15.7659,-0.311375,0,15.769,5.34506,0.5,0,12.2683,-0.571593,5.34506,1.20315,-0.0244997,0.000795297,1.2034,0,48,1
15.7631,-0.307407,0,15.7661,4.637,0.5,0,12,-0.129728,4.637,1.20319,-0.0221983,0.000646007,1.2034,0,49,1
15.7607,-0.303676,0,15.7636,4.44,0.5,0,12.1864,-0.411014,4.44,1.20238,-0.022195,0.000348532,1.20259,0,50,1
15.7603,-0.303187,0,15.7632,4.41442,0.5,0,12.2524,-0.443031,4.41442,1.20241,-0.0223829,0.000215509,1.20262,0,51,1
15.6671,0.196296,0,15.6684,8.16376,0.5,0,12.5315,-6.60523,8.16376,1.31494,0.0505557,0.00279146,1.31592,0,52,1
15.6706,0.199023,0,15.6718,8.9033,0.5,0,13,-6.21695,8.9033,1.31098,0.0553743,0.00266077,1.31215,0,53,1
15.7732,-0.325595,0,15.7766,6.57261,0.5,0,12.2213,0.343324,6.57261,1.21515,-0.0366995,-7.93461e-05,1.2157,0,54,1
15.6762,0.203704,0,15.6775,8.77751,0.5,0,12.2313,-12.089,8.77751,1.30256,0.0618376,0.00227909,1.30403,0,55,1
15.6779,0.205457,0,15.6792,8.18158,0.5,0,12.1238,-11.9531,8.18158,1.29624,0.0635034,0.00228917,1.2978,0,56,1
15.7763,-0.32963,0,15.7797,7.17411,0.5,0,12,0.102886,7.17411,1.21692,-0.0353635,-0.000555269,1.21744,0,57,1
15.7806,-0.334246,0,15.7841,8.42174,0.5,0,12.6231,0.656796,8.42174,1.21535,-0.0351362,-0.00132275,1.21586,0,58,1
15.6849,0.211111,0,15.6864,6.35378,0.5,0,12.9788,-2.17552,6.35378,1.2701,0.073653,0.00275081,1.27223,0,59,1
15.615,-0.159259,0,15.6158,11.5303,0.5,0,12.5788,-7.3379,-11.5303,1.51178,-0.0146993,-0.0010473,1.51185,0,60,1
15.6192,-0.161849,0,15.6201,8.37888,0.5,0,12,-1.72136,-8.27038,1.50354,-0.01153,-0.00259614,1.50359,0,61,1
15.6119,-0.157293,0,15.6127,11.8738,0.5,0,12.7345,-8.1705,-11.8738,1.52485,-0.0169389,-0.000816331,1.52494,0,62,1
15.6046,-0.155031,0,15.6053,9.81089,0.5,0,12.5709,-7.60046,-8.27503,1.54294,-0.00920415,-0.00317562,1.54297,0,63,1
15.6238,-0.166667,0,15.6247,9.94589,0.5,0,12.6256,-7.37102,-9.83097,1.46864,-0.0079724,-0.00301651,1.46867,0,64,1
15.6119,0.156225,0,15.6127,10.4009,0.5,0,12.5903,-6.68542,10.4009,1.53436,0.0145725,0.00181304,1.53443,0,65,1
15.6046,0.154257,0,15.6053,11.3776,0.5,0,12.6753,-10.9357,9.91662,1.54545,0.00755222,0.00113365,1.54547,0,66,1
15.6163,0.159259,0,15.6172,10.3361,0.5,0,12.3925,-6.70855,10.3361,1.51275,0.0139216,0.00183569,1.51281,0,67,1
15.6192,0.161547,0,15.6201,8.70631,0.5,0,12,-4.05107,8.53211,1.50129,0.0140433,0.0024824,1.50136,0,68,1
15.625,0.166667,0,15.6259,11.842,0.5,0,12.7861,-13.9076,11.7219,1.46877,0.0124318,0.00195373,1.46883,0,69,1
15.7824,-0.337037,0,15.786,8.84849,0.5,0,12.7451,0.177824,8.84849,1.21597,-0.0316182,-0.00198686,1.21638,0,70,1
15.7837,-0.344444,0,15.7875,8.4991,0.5,0,12.2072,-0.931009,8.4991,1.22546,-0.043292,-0.00426938,1.22623,0,71,1
15.601,-0.151852,0,15.6017,12.0469,0.5,0,13,-11.5388,-12.0469,1.56617,0.000891138,-0.00261135,1.56618,0,72,1
15.6017,0.151852,0,15.6024,10.8164,0.5,0,12.6111,-9.36727,10.2235,1.56075,0.00371429,0.000962901,1.56075,0,73,1
15.7879,-0.349855,0,15.7918,9.65446,0.5,0,12.324,1.26638,9.65446,1.22075,-0.0282235,-0.00667052,1.22109,0,74,1
15.5972,-0.148219,0,15.5979,8.52193,0.5,0,12.5096,-0.275096,-8.52193,1.60327,0.00391791,-0.00142911,1.60327,0,75,1
15.5899,-0.144804,0,15.5906,4.08507,0.5,0,12,12.8579,-3.51322,1.62243,-0.00703211,-0.00208947,1.62245,0,76,1
15.5972,0.146886,0,15.5979,6.94994,0.5,0,12,1.71763,6.44734,1.59987,-0.00309851,0.00158577,1.59987,0,77,1
15.5928,0.144444,0,15.5935,8.7813,0.5,0,12.6028,-3.4162,8.7813,1.6228,-0.00593956,0.00135563,1.62281,0,78,1
15.7894,-0.351852,0,15.7933,9.68515,0.5,0,12.3355,2.34731,9.68515,1.22003,-0.0206049,-0.00744331,1.22022,0,79,1
15.7917,-0.359259,0,15.7958,8.97612,0.5,0,12,5.00823,8.97612,1.21297,-0.0211321,-0.0112872,1.21321,0,80,1
15.7109,0.237615,0,15.7127,2.51824,0.5,0,12.6276,-0.150306,2.51824,1.23352,0.074929,0.000786714,1.23579,0,81,1
15.7106,0.23698,0,15.7123,2.7371,0.5,0,12.6814,-0.314349,2.7371,1.23435,0.0753326,0.000836864,1.23665,0,82,1
15.7101,0.23652,0,15.7118,2.87064,0.5,0,12.6687,-0.433479,2.87064,1.2351,0.0754929,0.000849573,1.23741,0,83,1
15.5899,0.143072,0,15.5905,8.14496,0.5,0,12.8147,-2.66992,8.13354,1.63299,-0.00622369,0.00168094,1.63301,0,84,1
15.5826,0.139047,0,15.5832,3.02206,0.5,0,13,13.114,0.372778,1.64875,0.00743177,0.00155531,1.64876,0,85,1
15.7952,-0.362714,0,15.7994,10.8234,0.5,0,12.4663,5.40054,10.8234,1.20519,-0.000883387,-0.0142565,1.20527,0,86,1
