Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.127246,0.991845,0.000179194,0.999974,3.86163,-0.475946,0,3.89085,123.767,0.5,0,12,-3430.57,-123.767,-0.979794,0.266319,-0.000330374,1.01534,0,0,1
0.158572,0.986812,0.000249475,0.999471,3.85995,-0.475658,0,3.88915,121.261,0.5,0,12,-3235.41,-121.261,-0.965581,0.335734,-0.000677938,1.02228,0,1,1
0.189841,0.981789,0.000190839,0.999975,3.85827,-0.475369,0,3.88744,118.755,0.5,0,12,-3040.12,-118.755,-0.951379,0.40503,-0.000291455,1.03401,0,2,1
0.0257632,0.999642,0.000158047,0.999974,3.86652,-0.476278,0,3.89574,124.28,0.5,0,12,-3384.31,-124.28,-0.978457,0.0749734,-0.000354215,0.981325,0,3,1
0.0765048,0.995743,0.000178164,0.998677,3.86408,-0.476112,0,3.8933,124.022,0.5,0,12,-3407.21,-124.022,-0.979115,0.170657,0.000113195,0.993876,0,4,1
-0.0725452,0.997339,0.000140611,0.999974,3.87141,-0.476172,0,3.90058,122.605,0.5,0,12,-3097.57,-122.605,-0.938098,-0.102717,-0.000371948,0.943705,0,5,1
-0.0233901,0.99849,0.000154595,0.998764,3.86896,-0.476225,0,3.89816,123.443,0.5,0,12,-3240.94,-123.443,-0.958265,-0.0138561,4.41295e-05,0.958365,0,6,1
-0.162206,0.986731,0.000122156,0.999975,3.87629,-0.475631,0,3.90536,117.996,0.5,0,12,-2551.8,-117.996,-0.861516,-0.269703,-0.000407512,0.902746,0,7,1
-0.117376,0.992035,0.000165424,0.998954,3.87385,-0.475902,0,3.90297,120.302,0.5,0,12,-2824.88,-120.302,-0.899805,-0.186197,1.03319e-05,0.918868,0,8,1
-0.170034,0.985381,8.44107e-05,0.999943,3.87693,-0.4755,0,3.90598,116.455,0.5,0,12,-2417.8,-116.455,-0.847169,-0.288024,-0.000530842,0.894793,0,9,1
-0.177881,0.984027,0.000115658,0.999975,3.87758,-0.475369,0,3.90661,114.911,0.5,0,12,-2283.54,-114.911,-0.832795,-0.306385,-0.000412832,0.887367,0,10,1
0.433485,0.901139,0.00021139,0.99998,3.84209,-0.471067,0,3.87086,59.5056,0.5,0,12,-342.42,-59.4492,-0.58148,0.78885,-4.52903e-05,0.980002,0,11,1
0.43825,0.898816,0.000288833,0.999967,3.84145,-0.470755,0,3.87019,57.9951,0.5,0,12,-306.723,-57.9669,-0.560028,0.800039,-0.000124712,0.976572,0,12,1
0.443004,0.896499,0.000206605,0.999981,3.84081,-0.470443,0,3.86951,56.4884,0.5,0,12,-271.069,-56.4884,-0.538599,0.811196,-3.57037e-05,0.973719,0,13,1
0.340861,0.940096,0.000189472,0.999983,3.84698,-0.472827,0,3.87592,69.3044,0.5,0,12,-601.033,-69.3044,-0.714659,0.695106,-9.93571e-05,0.99695,0,14,1
0.387167,0.920619,0.000419046,0.998718,3.84453,-0.471947,0,3.87339,64.4073,0.5,0,12,-471.676,-64.3791,-0.648035,0.741978,0.000274985,0.98513,0,15,1
0.262329,0.964961,0.000178465,0.999983,3.85186,-0.474025,0,3.88092,88.4121,0.5,0,12,-1399.17,-88.4121,-0.831119,0.611524,-0.000179423,1.03185,0,16,1
0.301602,0.952525,0.00015977,0.999134,3.84942,-0.473426,0,3.87842,78.8635,0.5,0,12,-1000.38,-78.8635,-0.772876,0.653308,0.000425079,1.012,0,17,1
0.213612,0.976894,0.000191549,0.999976,3.85675,-0.475107,0,3.8859,113.748,0.5,0,12,-2771.6,-113.748,-0.932946,0.465562,-0.000269782,1.04266,0,18,1
0.237971,0.970927,-0.000329628,0.999665,3.85431,-0.474566,0,3.88341,101.081,0.5,0,12,-2085.45,-101.081,-0.882032,0.538523,0.000542888,1.03343,0,19,1
0.201747,0.979338,8.95588e-05,0.999902,3.85751,-0.475238,0,3.88667,116.246,0.5,0,12,-2905.52,-116.246,-0.942143,0.43535,-7.51956e-05,1.03786,0,20,1
-0.194782,0.980671,0.000390394,0.999828,3.87938,-0.475031,0,3.90835,107,0.5,0,12,-1800.11,-107,-0.787228,-0.352596,-0.000141939,0.862585,0,21,1
-0.211696,0.977314,9.21108e-05,0.999979,3.88118,-0.474692,0,3.9101,99.0815,0.5,0,12,-1316.1,-99.0815,-0.741607,-0.398851,-0.000423125,0.842058,0,22,1
-0.239118,0.970975,6.2499e-05,0.999985,3.88606,-0.473738,0,3.91483,80.8712,0.5,0,12,-391.017,-80.8712,-0.620606,-0.444826,-0.000400885,0.763559,0,23,1
