Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.0661345,0.997785,-1.01184e-05,0.999974,4.50261,-0.480506,0,4.52817,102.64,0.5,0,12,-2257.38,-101.589,-1.07914,0.0987969,6.60032e-05,1.08365,0,0,1
0.083044,0.996376,4.29666e-06,0.999831,4.50162,-0.480401,0,4.52718,101.949,0.5,0,12,-2252.46,-101.424,-1.08123,0.13108,-8.46746e-05,1.08915,0,1,1
0.0999532,0.994967,7.16699e-06,0.999974,4.50064,-0.480296,0,4.5262,101.263,0.5,0,12,-2247.82,-101.263,-1.08332,0.163333,6.64841e-05,1.09557,0,2,1
-0.0155246,0.999854,-9.67202e-06,0.999975,4.50749,-0.480617,0,4.53305,99.5817,0.5,0,12,-1932.46,-98.3326,-1.04138,-0.044639,0.00012555,1.04234,0,3,1
0.025319,0.998819,1.55058e-05,0.99914,4.50505,-0.480561,0,4.53061,101.11,0.5,0,12,-2094.91,-99.9601,-1.06025,0.0270294,0.000404689,1.06059,0,4,1
-0.0893027,0.99598,5.63487e-05,0.999975,4.51238,-0.480358,0,4.53788,94.0995,0.5,0,12,-1500.42,-93.8942,-0.980841,-0.169074,0.000228554,0.995307,0,5,1
-0.0524011,0.997919,5.69201e-05,0.999294,4.50994,-0.480487,0,4.53546,96.8261,0.5,0,12,-1715.57,-96.0986,-1.01109,-0.10689,0.000430868,1.01673,0,6,1
-0.092418,0.99569,5.36852e-05,0.99997,4.51263,-0.480327,0,4.53812,93.6929,0.5,0,12,-1474.69,-93.59,-0.976728,-0.174366,0.000210993,0.99217,0,7,1
-0.0955523,0.9954,6.68608e-05,0.999975,4.51288,-0.480296,0,4.53837,93.2789,0.5,0,12,-1448.56,-93.2789,-0.972589,-0.179681,0.000241711,0.989047,0,8,1
0.355434,0.934681,8.64435e-05,0.999981,4.48306,-0.477089,0,4.50837,62.6544,0.5,0,12,-531.133,-57.8172,-0.839352,0.565085,-3.04172e-05,1.01185,0,9,1
0.38247,0.923484,0.000122321,0.999553,4.48085,-0.476229,0,4.50608,58.3421,0.5,0,12,-458.421,-55.9252,-0.788414,0.621257,-0.000536211,1.00377,0,10,1
0.409493,0.912293,7.51121e-05,0.999982,4.47864,-0.475369,0,4.5038,54.0346,0.5,0,12,-385.812,-54.0346,-0.737515,0.677466,-6.55282e-05,1.00144,0,11,1
0.255213,0.966869,8.05527e-05,0.999985,4.48795,-0.478303,0,4.51336,64.8469,0.5,0,12,-678.561,-62.482,-0.937422,0.484474,3.79738e-05,1.05521,0,12,1
