Points_0,Points_1,Points_2,Points_Magnitude,f,Point ID
18.3182,-0.314615,0,18.3209,0.5,0
18.3203,-0.315982,0,18.323,0.5,1
18.3176,-0.3125,0,18.3203,0.5,2
18.3518,-0.359125,0,18.3553,0.5,3
18.3594,-0.365205,0,18.363,0.5,4
18.3476,-0.351562,0,18.351,0.5,5
18.3343,-0.337544,0,18.3374,0.5,6
18.3398,-0.34208,0,18.343,0.5,7
18.3318,-0.332031,0,18.3348,0.5,8
18.3279,-0.324478,0,18.3307,0.5,9
18.3453,-0.346101,0,18.3486,0.5,10
18.39,-0.399102,0,18.3943,0.5,11
18.3984,-0.405193,0,18.4029,0.5,12
18.3833,-0.390625,0,18.3875,0.5,13
18.4313,-0.435867,0,18.4365,0.5,14
18.4375,-0.438567,0,18.4427,0.5,15
18.4265,-0.429688,0,18.4315,0.5,16
18.4101,-0.418013,0,18.4149,0.5,17
18.418,-0.422622,0,18.4228,0.5,18
18.4038,-0.410156,0,18.4083,0.5,19
18.402,-0.406615,0,18.4065,0.5,20
18.423,-0.4247,0,18.4279,0.5,21
18.3713,-0.378668,0,18.3752,0.5,22
18.3789,-0.386154,0,18.383,0.5,23
18.3648,-0.371094,0,18.3685,0.5,24
18.3632,-0.367256,0,18.3669,0.5,25
18.382,-0.387511,0,18.3861,0.5,26
18.2758,-0.239843,0,18.2774,0.5,27
18.2812,-0.249284,0,18.2829,0.5,28
18.2742,-0.234375,0,18.2757,0.5,29
18.259,-0.198075,0,18.26,0.5,30
18.2617,-0.203534,0,18.2629,0.5,31
18.2591,-0.195312,0,18.2601,0.5,32
18.2706,-0.225497,0,18.272,0.5,33
18.2661,-0.214844,0,18.2673,0.5,34
18.2653,-0.211277,0,18.2665,0.5,35
18.2554,-0.182148,0,18.2563,0.5,36
18.2434,-0.175781,0,18.2443,0.5,37
18.243,-0.174985,0,18.2438,0.5,38
18.2532,-0.15625,0,18.2539,0.5,39
18.2417,-0.137192,0,18.2422,0.5,40
18.2422,-0.137191,0,18.2427,0.5,41
18.2417,-0.136719,0,18.2422,0.5,42
18.2422,-0.124352,0,18.2426,0.5,43
18.2389,-0.0813803,0,18.2391,0.5,44
18.2422,-0.0861769,0,18.2424,0.5,45
18.2381,-0.078125,0,18.2383,0.5,46
18.2522,-0.146248,0,18.2528,0.5,47
18.2425,-0.117188,0,18.2428,0.5,48
18.2427,-0.116635,0,18.2431,0.5,49
18.2427,-0.117188,0,18.2431,0.5,50
18.2422,-0.112909,0,18.2425,0.5,51
18.2338,-0.0669886,0,18.2339,0.5,52
18.2324,-0.0585938,0,18.2325,0.5,53
18.2306,-0.0506874,0,18.2306,0.5,54
18.2293,-0.0390625,0,18.2294,0.5,55
18.2285,-0.0331718,0,18.2286,0.5,56
18.2277,-0.0195312,0,18.2277,0.5,57
18.2275,-0.0147059,0,18.2275,0.5,58
18.2272,0,0,18.2272,0.5,59
18.2951,-0.279138,0,18.2972,0.5,60
18.3008,-0.285472,0,18.303,0.5,61
18.2956,-0.273438,0,18.2976,0.5,62
18.3109,-0.302419,0,18.3134,0.5,63
18.3055,-0.292969,0,18.3078,0.5,64
18.3044,-0.289323,0,18.3067,0.5,65
18.292,-0.262669,0,18.2939,0.5,66
18.2836,-0.253906,0,18.2854,0.5,67
18.2832,-0.251937,0,18.285,0.5,68
18.454,-0.452256,0,18.4595,0.5,69
18.457,-0.453166,0,18.4626,0.5,70
18.452,-0.449219,0,18.4574,0.5,71
18.4447,-0.442065,0,18.45,0.5,72
18.4668,-0.459008,0,18.4725,0.5,73
18.4766,-0.463193,0,18.4824,0.5,74
