Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.44447,0.895708,0.00018253,0.999923,4.64906,-0.473914,0,4.67315,39.4091,0.5,0,12,330.912,-33.0351,-0.530036,0.76053,0.000291988,0.927008,0,0,1
0.512179,0.855138,-0.000989514,0.996789,4.64588,-0.472105,0,4.6698,32.0196,0.5,0,12,322.799,-28.154,-0.433385,0.802688,-0.000746491,0.912212,0,1,1
0.579843,0.814595,0.000191222,0.999891,4.64269,-0.470297,0,4.66645,24.6407,0.5,0,12,314.533,-23.2842,-0.336763,0.844817,0.000327496,0.909464,0,2,1
0.296188,0.955057,0.00018449,0.999931,4.65885,-0.47614,0,4.68311,70.4425,0.5,0,12,-906.795,-70.2437,-0.762355,0.570371,0.000241594,0.952107,0,3,1
0.370336,0.925378,0.000499089,0.996732,4.65395,-0.475027,0,4.67813,54.9263,0.5,0,12,-288.267,-51.6422,-0.646214,0.665382,0.00177239,0.92754,0,4,1
0.161934,0.986689,0.000140332,0.999889,4.66863,-0.477659,0,4.693,88.0421,0.5,0,12,-1636.12,-88.0421,-0.935532,0.316248,0.000186802,0.987539,0,5,1
0.229045,0.970876,-0.00139694,0.997528,4.66374,-0.476899,0,4.68806,79.2341,0.5,0,12,-1270.82,-79.1327,-0.848935,0.443318,0.00201397,0.957719,0,6,1
-0.0263484,0.999476,5.67362e-05,0.999824,4.67842,-0.4782,0,4.70279,103.892,0.5,0,12,-2438.89,-103.892,-0.96171,-0.01605,0.000157961,0.961844,0,7,1
0.0677863,0.993079,-0.00184495,0.995391,4.67353,-0.477929,0,4.6979,95.9623,0.5,0,12,-2037.07,-95.9623,-0.948602,0.150163,0.00329089,0.96042,0,8,1
-0.185149,0.982616,-1.36369e-05,0.999908,4.6882,-0.477326,0,4.71244,84.2418,0.5,0,12,-1042.56,-84.2418,-0.768549,-0.258418,0.000192971,0.810832,0,9,1
-0.105738,0.991044,0.00261515,0.996672,4.68331,-0.477763,0,4.70762,94.0776,0.5,0,12,-1741.53,-94.0776,-0.865143,-0.137207,0.00286806,0.87596,0,10,1
-0.268484,0.963205,-4.06271e-05,0.999924,4.69799,-0.475847,0,4.72203,67.2521,0.5,0,12,-360.384,-67.2521,-0.511859,-0.414083,0.000159083,0.65838,0,11,1
-0.226807,0.972912,0.000605053,0.998999,4.6931,-0.476586,0,4.71723,75.7537,0.5,0,12,-701.803,-75.7537,-0.640187,-0.336314,0.00220991,0.723154,0,12,1
-0.353098,0.935501,-4.78169e-05,0.99992,4.70778,-0.474036,0,4.73158,45.2471,0.5,0,12,345.988,-45.2471,-0.292856,-0.440926,9.76477e-05,0.529321,0,13,1
-0.310787,0.949354,-0.000203275,0.99893,4.70288,-0.474941,0,4.7268,56.2441,0.5,0,12,-6.74714,-56.2441,-0.40234,-0.427546,0.00124841,0.58709,0,14,1
