Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.500021,0.865918,-0.000123415,0.999917,3.58657,-0.473423,0,3.61768,36.0342,0.5,0,12,355.227,-24.8742,-0.573303,0.783029,0.000936678,0.97047,0,0,1
0.540916,0.839555,-0.00080548,0.998721,3.58415,-0.47186,0,3.61507,32.1853,0.5,0,12,317.344,-22.2032,-0.503862,0.813798,0.000150025,0.957154,0,1,1
0.581848,0.813174,-0.000163463,0.999899,3.58172,-0.470297,0,3.61247,28.3353,0.5,0,12,279.638,-19.5284,-0.434397,0.844677,0.000873791,0.949832,0,2,1
0.34677,0.937877,-2.99555e-05,0.999931,3.59636,-0.476095,0,3.62773,60.1451,0.5,0,12,-412.667,-54.131,-0.805578,0.623909,0.00095391,1.01893,0,3,1
0.423388,0.901904,0.000493805,0.996338,3.59146,-0.474759,0,3.62271,48.1001,0.5,0,12,-29.0169,-39.5132,-0.689453,0.703475,0.00228951,0.985001,0,4,1
0.256835,0.966299,8.57655e-06,0.999849,3.60614,-0.478229,0,3.63771,82.0312,0.5,0,12,-1478.18,-82.0312,-1.01972,0.42496,0.00099332,1.10473,0,5,1
0.301798,0.952091,-0.0028281,0.998782,3.60125,-0.477162,0,3.63272,71.0901,0.5,0,12,-945.462,-68.081,-0.912659,0.524405,0.00337249,1.0526,0,6,1
0.0624436,0.997805,9.95863e-06,0.999757,3.61593,-0.479788,0,3.64762,113.952,0.5,0,12,-2912.78,-113.952,-1.12715,0.0942163,0.00103708,1.13108,0,7,1
0.159632,0.982054,-0.00231217,0.994946,3.61103,-0.479009,0,3.64267,97.9882,0.5,0,12,-2195.08,-97.9882,-1.07341,0.259599,0.0037701,1.10436,0,8,1
-0.165206,0.986042,-6.94394e-06,0.999786,3.62571,-0.479138,0,3.65724,95.7717,0.5,0,12,-1602.37,-95.7717,-0.980691,-0.231412,0.000957864,1.00763,0,9,1
-0.0513831,0.991923,0.000663105,0.993253,3.62082,-0.479463,0,3.65243,104.863,0.5,0,12,-2257.69,-104.863,-1.05391,-0.0685513,0.00261481,1.05614,0,10,1
-0.259508,0.96564,-1.60616e-05,0.999902,3.6355,-0.477334,0,3.6667,64.1879,0.5,0,12,-222.387,-64.1879,-0.719574,-0.35414,0.000951501,0.801999,0,11,1
-0.212357,0.975841,0.00335774,0.998685,3.63061,-0.478236,0,3.66197,79.9825,0.5,0,12,-912.616,-79.9825,-0.850179,-0.292752,0.00199752,0.899173,0,12,1
-0.291094,0.95662,-2.5156e-05,0.999929,3.64529,-0.475572,0,3.67618,48.2744,0.5,0,12,95.8697,-48.2744,-0.475165,-0.431406,0.00102183,0.641789,0,13,1
-0.275302,0.96113,0.00100822,0.999781,3.64039,-0.476453,0,3.67144,56.2349,0.5,0,12,-63.4623,-56.2349,-0.597391,-0.392809,0.00176983,0.714967,0,14,1
-0.37623,0.926421,-5.75893e-05,0.999902,3.65507,-0.473603,0,3.68563,34.8703,0.5,0,12,280.649,-34.8703,-0.283915,-0.411118,0.0011841,0.499627,0,15,1
-0.333669,0.941517,-0.00108815,0.998895,3.65018,-0.474587,0,3.6809,41.5734,0.5,0,12,188.419,-41.5734,-0.379537,-0.421297,0.00140283,0.567046,0,16,1
-0.434714,0.898082,0.00172122,0.997763,3.65892,-0.47195,0,3.68923,34.277,0.5,0,12,257.03,-34.277,-0.201709,-0.417374,0.00108731,0.463561,0,17,1
-0.493177,0.869751,-0.000106175,0.999845,3.66277,-0.470297,0,3.69284,33.6886,0.5,0,12,233.523,-33.6886,-0.1195,-0.42367,0.00121246,0.440202,0,18,1
0.647834,0.761666,-0.000196548,0.999912,3.567,-0.461954,0,3.59679,15.974,0.5,0,12,443.155,15.796,-0.0963983,0.879962,0.000590915,0.885226,0,19,1
0.653113,0.757113,-0.000183547,0.999888,3.56612,-0.461176,0,3.59581,16.8452,0.5,0,12,422.562,16.6694,-0.0763989,0.881605,0.000193207,0.884909,0,20,1
0.658401,0.752551,-0.000196873,0.999912,3.56523,-0.460396,0,3.59484,17.7141,0.5,0,12,401.926,17.5409,-0.05635,0.883247,0.000541291,0.885043,0,21,1
0.57411,0.818692,-0.000157571,0.99993,3.57678,-0.466999,0,3.60714,18.5459,0.5,0,12,458.654,-6.68709,-0.299388,0.882857,0.000732132,0.93224,0,22,1
0.61096,0.790189,0.00053213,0.998835,3.57189,-0.464477,0,3.60196,17.2544,0.5,0,12,451.35,4.56193,-0.197832,0.881426,0.00141257,0.903356,0,23,1
0.577984,0.815929,-0.00134385,0.999904,3.57925,-0.468648,0,3.6098,23.4448,0.5,0,12,369.201,-13.1116,-0.366903,0.863808,0.00182983,0.938501,0,24,1
-0.48955,0.871795,0.000267579,0.999843,3.66381,-0.46971,0,3.6938,31.125,0.5,0,12,237.194,-31.125,-0.0975357,-0.420932,0.00134606,0.432086,0,25,1
-0.485932,0.873834,-0.000109238,0.999858,3.66486,-0.469124,0,3.69476,28.5651,0.5,0,12,240.818,-28.5651,-0.075606,-0.418192,0.00113899,0.424973,0,26,1
-0.367394,0.929988,-8.87201e-05,0.999928,3.67464,-0.465949,0,3.70407,18.3887,0.5,0,12,153.797,-18.3887,0.0624596,-0.355314,0.000459021,0.360763,0,27,1
-0.426659,0.901913,0.00233433,0.997742,3.66975,-0.467537,0,3.69941,23.4775,0.5,0,12,197.347,-23.4775,-0.00654647,-0.386794,0.000921045,0.386851,0,28,1
-0.394418,0.918825,-7.24443e-05,0.999903,3.68443,-0.463707,0,3.71349,13.1435,0.5,0,12,127.12,-13.1435,0.15798,-0.300852,-0.000149802,0.339808,0,29,1
-0.38091,0.924405,-0.00105565,0.999809,3.67954,-0.464828,0,3.70878,15.7587,0.5,0,12,140.597,-15.7587,0.110249,-0.328086,0.000157974,0.346114,0,30,1
-0.441955,0.895327,0.001807,0.998468,3.68826,-0.462051,0,3.71708,12.5283,0.5,0,12,107.816,-12.5283,0.20154,-0.292722,-0.000248687,0.355394,0,31,1
-0.489471,0.871841,-4.3666e-05,0.999844,3.69208,-0.460396,0,3.72068,11.9151,0.5,0,12,88.655,-11.9151,0.245234,-0.284558,-0.000373666,0.37565,0,32,1
0.081017,0.993469,-0.000237693,0.996767,4.20308,-0.460735,0,4.22826,10.4903,0.5,0,12,1.27337,-10.4565,-0.135883,0.114641,-0.000205682,0.177783,0,33,1
0.0988258,0.993081,-0.000393433,0.997987,4.20209,-0.460566,0,4.22726,10.2276,0.5,0,12,1.53726,-10.2084,-0.134297,0.116302,-0.000232615,0.177657,0,34,1
0.101829,0.992587,-0.000243272,0.997797,4.2011,-0.460396,0,4.22625,9.96092,0.5,0,12,1.76154,-9.95665,-0.132755,0.117979,-0.000187883,0.177603,0,35,1
0.126652,0.988849,-0.0761185,0.999829,4.21287,-0.460615,0,4.23798,13.9049,0.5,0,12,-3.39472,-13.8888,-0.14803,0.098239,-0.000639747,0.177663,0,36,1
0.0620137,0.992554,-0.0711982,0.997035,4.20798,-0.461334,0,4.23319,11.4908,0.5,0,12,0.48915,-11.4171,-0.141148,0.104959,-0.000756964,0.175897,0,37,1
0.143371,0.985579,-0.0711624,0.998491,4.21443,-0.461165,0,4.23958,13.802,0.5,0,12,-3.26558,-13.7451,-0.148126,0.0941941,-0.00150042,0.175545,0,38,1
0.169114,0.980568,-0.0694203,0.997463,4.21776,-0.462252,0,4.24302,13.4731,0.5,0,12,-2.92636,-13.3673,-0.150629,0.0863458,-0.000518583,0.173623,0,39,1
0.152338,0.985992,-0.00442416,0.997701,4.22266,-0.462635,0,4.24792,14.2508,0.5,0,12,-5.0193,-14.1503,-0.155477,0.0777866,-0.000375996,0.17385,0,40,1
0.0598605,0.998056,2.2891e-05,0.99985,4.23244,-0.463173,0,4.25771,15.8282,0.5,0,12,-12.6935,-15.7944,-0.160582,0.0582424,-0.000237134,0.170818,0,41,1
0.07538,0.996999,-0.00388662,0.999852,4.22755,-0.462935,0,4.25282,14.9549,0.5,0,12,-8.45664,-14.8864,-0.158151,0.0680376,0.000125678,0.172165,0,42,1
0.0276151,0.999488,-2.46754e-05,0.999869,4.24223,-0.463436,0,4.26747,17.334,0.5,0,12,-21.1287,-17.334,-0.160573,0.0370061,-0.000158,0.164782,0,43,1
0.041599,0.998899,0.000326624,0.999765,4.23733,-0.463304,0,4.26259,16.5726,0.5,0,12,-16.7967,-16.5557,-0.160601,0.0477623,0.000384038,0.167553,0,44,1
0.00118027,0.999872,-0.000258331,0.999872,4.25201,-0.463524,0,4.2772,18.6529,0.5,0,12,-28.4875,-18.6529,-0.153747,0.0142933,-7.90687e-05,0.15441,0,45,1
0.0143824,0.999677,-4.48637e-05,0.99978,4.24712,-0.463479,0,4.27233,18.0193,0.5,0,12,-25.1922,-18.0193,-0.157189,0.0256984,0.000542216,0.159277,0,46,1
-0.0250931,0.999553,-0.000447062,0.999868,4.2618,-0.46345,0,4.28692,19.5565,0.5,0,12,-30.9705,-19.5565,-0.139731,-0.00899466,-7.51298e-05,0.14002,0,47,1
-0.0119237,0.99971,-0.00049038,0.999781,4.25691,-0.463487,0,4.28206,19.1181,0.5,0,12,-29.9125,-19.1181,-0.146749,0.0025034,0.000562827,0.146772,0,48,1
-0.0524192,0.998482,-0.000453065,0.999857,4.27158,-0.463206,0,4.29663,20.0493,0.5,0,12,-29.4663,-20.0493,-0.119519,-0.031086,-0.000190451,0.123496,0,49,1
