Points_0,Points_1,Points_2,Points_Magnitude,absOmega,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
2.10679,-0.337438,0,2.13364,3.31792,0.5,0,12,12.5598,-3.31792,1.12758,0.00751799,0.000104231,1.12761,0,0,1
2.10819,-0.339023,0,2.13528,2.98421,0.5,0,12,10.1992,-2.98421,1.11795,0.0065274,7.21061e-05,1.11797,0,1,1
2.10331,-0.333372,0,2.12956,2.47674,0.5,0,12,17.8405,-2.47674,1.1605,0.0136858,-5.52493e-05,1.16058,0,2,1
2.10256,-0.332512,0,2.12869,2.11555,0.5,0,12,18.8317,-2.11555,1.16745,0.0137636,-5.31902e-05,1.16753,0,3,1
2.11117,-0.342365,0,2.13875,2.04932,0.5,0,12,6.23406,-2.04932,1.10377,0.00624168,2.33485e-05,1.10379,0,4,1
2.11308,-0.344508,0,2.14098,2.72788,0.5,0,12,5.97344,-2.72788,1.09423,0.00897874,0.000107796,1.09427,0,5,1
2.09861,-0.327586,0,2.12403,4.52578,0.5,0,12,8.23882,4.18392,1.19757,0.0152066,-2.68915e-05,1.19767,0,6,1
2.09842,-0.327354,0,2.1238,4.74977,0.5,0,12,7.74881,4.44688,1.19771,0.0152607,-3.8174e-05,1.19781,0,7,1
2.09484,-0.32266,0,2.11954,7.56791,0.5,0,12,2.27049,7.5118,1.1988,0.00412249,-0.000798725,1.1988,0,8,1
2.11556,-0.347291,0,2.14387,4.78342,0.5,0,12,3.68522,-4.78342,1.08227,0.0106706,0.00011622,1.08232,0,9,1
2.11797,-0.348676,0,2.14648,5.81354,0.5,0,11.7188,1.3955,-5.81354,1.06018,0.0132855,-1.76793e-05,1.06027,0,10,1
2.09353,-0.321021,0,2.118,6.64025,0.5,0,12,9.42007,6.58911,1.20114,0.00118902,-0.000975315,1.20114,0,11,1
